originid,destinationid,distance,duration
22,3,3179,522
22,4,395,114
22,5,2086,499
22,6,2595,556
22,7,407,115
22,8,2179,553
22,9,2473,541
22,10,1380,342
22,11,1326,303
22,12,1401,316
22,13,928,236
22,14,2588,587
22,15,2454,580
22,16,1669,370
22,17,2467,549
22,18,1612,360
22,19,130,33
22,20,2250,510
22,21,1976,434
22,23,2198,457
22,24,2583,648
22,25,2583,648
22,26,2016,433
22,27,237,67
22,28,2251,511
23,1,836,173
23,2,831,117
23,3,2455,411
23,4,1948,347
23,5,1985,455
23,6,3304,657
23,7,1959,349
23,8,2079,509
23,9,1178,239
23,10,4056,486
23,11,1625,344
23,12,1562,290
23,13,2023,415
23,14,2941,602
23,15,1083,235
23,16,948,134
23,17,2820,564
23,18,993,141
23,19,2566,472
23,20,878,165
23,21,1698,342
23,22,2437,439
23,24,1211,303
23,25,1211,303
23,26,182,26
23,27,2168,377
23,28,880,165
24,1,1733,369
24,2,482,151
24,3,3352,606
24,4,1833,410
24,5,1183,323
24,6,2820,636
24,7,1844,412
24,8,1277,377
24,9,693,218
24,10,3764,590
24,11,995,271
24,12,1093,295
24,13,1907,478
24,14,2457,581
24,15,281,103
24,16,600,168
24,17,2336,543
24,18,645,175
24,19,2451,535
24,20,76,33
24,21,895,211
24,22,2321,502
24,23,897,196
24,25,0,0
24,26,1079,221
24,27,2053,441
24,28,78,33
25,1,1733,369
25,2,482,151
25,3,3352,606
25,4,1833,410
25,5,1183,323
25,6,2820,636
25,7,1844,412
25,8,1277,377
25,9,693,218
25,10,3764,590
25,11,995,271
25,12,1093,295
25,13,1907,478
25,14,2457,581
25,15,281,103
25,16,600,168
25,17,2336,543
25,18,645,175
25,19,2451,535
25,20,76,33
25,21,895,211
25,22,2321,502
25,23,897,196
25,24,0,0
25,26,1079,221
25,27,2053,441
25,28,78,33
26,1,654,148
26,2,1013,142
26,3,2273,385
26,4,1766,322
26,5,2167,480
26,6,3281,668
26,7,1777,323
26,8,2261,534
26,9,1360,264
26,10,3874,460
26,11,1443,318
26,12,1744,315
26,13,1841,390
26,14,2705,602
26,15,1265,260
26,16,1130,159
26,17,2584,565
26,18,1175,166
26,19,2385,446
26,20,1060,190
26,21,1880,367
26,22,2255,413
26,23,182,25
26,24,1393,327
26,25,1393,327
26,27,1986,352
26,28,1062,190
27,1,2218,511
27,2,2054,450
27,3,3447,584
27,4,664,175
27,5,2354,561
27,6,2863,618
27,7,675,177
27,8,2448,615
27,9,2741,602
27,10,2607,381
27,11,1595,364
27,12,1670,377
27,13,1197,297
27,14,2856,648
27,15,2723,642
27,16,1937,432
27,17,2736,611
27,18,1880,422
27,19,398,94
27,20,2518,572
27,21,2244,496
27,22,268,62
27,23,2466,519
27,24,2851,710
27,25,2851,710
27,26,2284,494
27,28,2520,572
28,1,1798,414
28,2,833,194
28,3,3632,637
28,4,1755,377
28,5,1105,290
28,6,2755,587
28,7,1767,378
28,8,1199,344
28,9,1316,284
28,10,3686,556
28,11,917,237
28,12,1016,262
28,13,1830,445
28,14,2179,521
28,15,203,70
28,16,716,175
28,17,2058,484
28,18,659,166
28,19,2374,501
28,20,407,170
28,21,818,177
28,22,2244,469
28,23,1664,318
28,24,331,137
28,25,331,137
28,26,1845,343
28,27,1976,407
