sampleid,x,y,routeid,distance
"317",840992.890,818800.620,"17","45"
"318",840989.747,818804.508,"17","50"
"319",840986.615,818808.406,"17","55"
"320",840983.483,818812.303,"17","60"
"321",840980.035,818815.920,"17","65"
"322",840976.431,818819.354,"17","70"
"323",840972.039,818821.744,"17","75"
"324",840967.647,818824.134,"17","80"
"325",840936.283,818828.922,"18","0"
"326",840931.430,818827.716,"18","5"
"327",840926.733,818826.114,"18","10"
"328",840922.407,818823.619,"18","15"
"329",840918.513,818820.535,"18","20"
"330",840916.206,818816.098,"18","25"
"331",840915.213,818811.219,"18","30"
"332",840914.944,818806.243,"18","35"
"333",840916.878,818801.733,"18","40"
"334",840919.259,818797.336,"18","45"
"335",840922.064,818793.223,"18","50"
"336",840925.216,818789.342,"18","55"
"337",840928.276,818785.390,"18","60"
"338",840931.163,818781.308,"18","65"
"339",840934.051,818777.226,"18","70"
"340",840936.938,818773.144,"18","75"
"341",840939.826,818769.062,"18","80"
"342",840942.713,818764.980,"18","85"
"343",840945.601,818760.899,"18","90"
"344",840948.488,818756.817,"18","95"
"345",841043.852,818742.238,"19","0"
"346",841040.503,818745.951,"19","5"
"347",841037.155,818749.664,"19","10"
"348",841033.806,818753.377,"19","15"
"349",841030.458,818757.090,"19","20"
"350",841027.109,818760.803,"19","25"
"351",841023.760,818764.516,"19","30"
"352",840948.789,818756.392,"20","0"
"353",840951.625,818752.274,"20","5"
"354",840954.461,818748.156,"20","10"
"355",840957.296,818744.037,"20","15"
"356",840960.250,818740.004,"20","20"
"357",840742.425,818918.026,"21","0"
"358",840740.214,818922.510,"21","5"
"359",840738.003,818926.995,"21","10"
"360",840735.792,818931.479,"21","15"
"361",840734.222,818936.112,"21","20"
"362",840734.657,818941.041,"21","25"
"363",840736.679,818945.545,"21","30"
"364",840739.893,818949.375,"21","35"
"365",840743.106,818953.205,"21","40"
"366",840746.320,818957.036,"21","45"
"367",840923.331,818872.681,"22","0"
"368",840922.621,818877.631,"22","5"
"369",840921.911,818882.580,"22","10"
"370",840921.201,818887.529,"22","15"
"371",840919.898,818892.356,"22","20"
"372",840918.065,818897.008,"22","25"
"373",840915.602,818901.334,"22","30"
"374",840912.719,818905.414,"22","35"
"375",840909.635,818909.350,"22","40"
"376",840906.551,818913.285,"22","45"
"377",840903.467,818917.221,"22","50"
"378",840900.383,818921.156,"22","55"
"379",840897.299,818925.092,"22","60"
"380",840894.215,818929.028,"22","65"
"381",840891.131,818932.963,"22","70"
"382",840888.047,818936.899,"22","75"
"383",840884.963,818940.834,"22","80"
"384",840881.879,818944.770,"22","85"
"385",840878.795,818948.705,"22","90"
"386",840838.037,819014.212,"23","0"
"387",840841.157,819010.304,"23","5"
"388",840844.276,819006.397,"23","10"
"389",840847.396,819002.489,"23","15"
"390",840850.516,818998.582,"23","20"
"391",840853.635,818994.675,"23","25"
"392",840856.755,818990.767,"23","30"
"393",840859.875,818986.860,"23","35"
"394",840862.994,818982.952,"23","40"
"395",840866.114,818979.045,"23","45"
"396",840869.234,818975.138,"23","50"
"397",840872.353,818971.230,"23","55"
"398",840875.473,818967.323,"23","60"
"399",840878.593,818963.415,"23","65"
"400",840881.712,818959.508,"23","70"
"401",840884.832,818955.601,"23","75"
"402",840887.952,818951.693,"23","80"
"403",840891.071,818947.786,"23","85"
"404",840894.191,818943.878,"23","90"
"405",840897.310,818939.971,"23","95"
"406",840900.243,818935.923,"23","100"
"407",840903.112,818931.828,"23","105"
"408",840905.981,818927.733,"23","110"
"409",840908.850,818923.639,"23","115"
"410",840911.719,818919.544,"23","120"
"411",840914.588,818915.449,"23","125"
"412",840917.457,818911.354,"23","130"
"413",840920.723,818907.575,"23","135"
"414",840924.074,818903.864,"23","140"
"415",840927.479,818900.204,"23","145"
"416",840931.173,818896.881,"23","150"
"417",840935.564,818894.535,"23","155"
"418",840940.300,818893.026,"23","160"
"419",840945.268,818892.460,"23","165"
"420",841393.325,819216.417,"24","0"
"421",841388.404,819215.531,"24","5"
"422",841383.483,819214.645,"24","10"
"423",841378.515,819214.145,"24","15"
"424",841373.534,819214.041,"24","20"
"425",841368.583,819214.736,"24","25"
"426",841286.448,819132.209,"25","0"
"427",841282.549,819129.079,"25","5"
"428",841278.649,819125.950,"25","10"
"429",841274.750,819122.820,"25","15"
"430",841270.850,819119.691,"25","20"
"431",841266.951,819116.561,"25","25"
"432",841263.051,819113.431,"25","30"
"433",841259.152,819110.302,"25","35"
"434",841255.252,819107.172,"25","40"
"435",841251.353,819104.043,"25","45"
"436",841247.454,819100.913,"25","50"
"437",841243.554,819097.784,"25","55"
"438",841239.655,819094.654,"25","60"
"439",841235.755,819091.524,"25","65"
"440",841231.856,819088.395,"25","70"
"441",841528.242,818847.256,"26","0"
"442",841532.628,818849.657,"26","5"
"443",841537.013,818852.059,"26","10"
"444",841541.383,818854.487,"26","15"
"445",841545.557,818857.239,"26","20"
"446",841549.692,818860.050,"26","25"
"447",841553.828,818862.860,"26","30"
"448",841557.449,818866.259,"26","35"
"449",841560.793,818869.977,"26","40"
"450",841564.137,818873.694,"26","45"
"451",841567.480,818877.412,"26","50"
"452",841338.000,819254.463,"27","0"
"453",841333.703,819257.020,"27","5"
"454",841329.407,819259.577,"27","10"
"455",841325.088,819262.097,"27","15"
"456",841320.743,819264.570,"27","20"
"457",841316.397,819267.043,"27","25"
"458",841312.052,819269.516,"27","30"
"459",841366.168,819215.075,"28","0"
"460",841361.559,819217.014,"28","5"
"461",841356.985,819219.033,"28","10"
"462",841353.281,819222.307,"28","15"
"463",841350.183,819226.223,"28","20"
"464",841347.486,819230.412,"28","25"
"465",841345.217,819234.867,"28","30"
"466",841343.006,819239.351,"28","35"
"467",841340.932,819243.900,"28","40"
"468",841339.450,819248.657,"28","45"
"469",841338.238,819253.508,"28","50"
"470",841160.564,818615.730,"29","0"
"471",841155.727,818614.462,"29","5"
"472",841151.549,818615.545,"29","10"
"473",841148.075,818619.141,"29","15"
"474",841144.885,818622.987,"29","20"
"475",841141.756,818626.887,"29","25"
"476",841155.321,819347.822,"30","0"
"477",841150.685,819349.695,"30","5"
"478",841146.049,819351.569,"30","10"
"479",841141.413,819353.443,"30","15"
"480",841136.778,819355.316,"30","20"
"481",841132.142,819357.190,"30","25"
"482",841127.506,819359.063,"30","30"
"483",841122.871,819360.937,"30","35"
"484",841118.235,819362.810,"30","40"
"485",841113.599,819364.684,"30","45"
"486",841108.963,819366.557,"30","50"
"487",841104.328,819368.431,"30","55"
"488",841099.692,819370.305,"30","60"
"489",841095.056,819372.178,"30","65"
"490",841090.421,819374.052,"30","70"
"491",841085.785,819375.925,"30","75"
"492",841081.149,819377.799,"30","80"
"493",841076.513,819379.672,"30","85"
"494",841071.878,819381.546,"30","90"
"495",841067.242,819383.419,"30","95"
"496",841062.606,819385.293,"30","100"
"497",841057.981,819387.192,"30","105"
"498",841053.371,819389.127,"30","110"
"499",841048.761,819391.063,"30","115"
"500",840296.832,819709.234,"31","0"
"501",840293.194,819712.663,"31","5"
"502",840289.556,819716.093,"31","10"
"503",840285.917,819719.523,"31","15"
"504",840282.300,819722.974,"31","20"
"505",840278.732,819726.477,"31","25"
"506",840275.163,819729.979,"31","30"
"507",840271.595,819733.481,"31","35"
"508",840268.027,819736.984,"31","40"
"509",840264.458,819740.486,"31","45"
"510",840261.255,819744.313,"31","50"
"511",840258.193,819748.266,"31","55"
"512",840255.130,819752.218,"31","60"
"513",840252.067,819756.170,"31","65"
"514",840249.005,819760.123,"31","70"
"515",840245.942,819764.075,"31","75"
"516",840242.880,819768.027,"31","80"
"517",840239.817,819771.980,"31","85"
"518",840236.888,819776.030,"31","90"
"519",840234.012,819780.121,"31","95"
"520",840231.137,819784.211,"31","100"
"521",840228.261,819788.301,"31","105"
"522",840225.386,819792.392,"31","110"
"523",840222.530,819796.496,"31","115"
"524",840219.793,819800.680,"31","120"
"525",840217.056,819804.864,"31","125"
"526",840214.318,819809.048,"31","130"
"527",840211.862,819813.396,"31","135"
"528",841127.284,818658.364,"32","0"
"529",841130.623,818654.642,"32","5"
"530",841133.991,818650.948,"32","10"
"531",841137.555,818647.445,"32","15"
"532",841141.394,818644.249,"32","20"
"533",841642.037,818999.003,"33","0"
"534",841644.792,819003.174,"33","5"
"535",841647.548,819007.346,"33","10"
"536",841650.304,819011.518,"33","15"
"537",841653.060,819015.690,"33","20"
"538",841655.816,819019.862,"33","25"
"539",841658.571,819024.034,"33","30"
"540",841661.327,819028.206,"33","35"
"541",840530.926,819551.201,"34","0"
"542",840531.302,819556.186,"34","5"
"543",840531.648,819561.172,"34","10"
"544",840531.180,819566.150,"34","15"
"545",840529.268,819570.702,"34","20"
"546",840526.721,819574.996,"34","25"
"547",840523.932,819579.146,"34","30"
"548",840521.144,819583.296,"34","35"
"549",840518.355,819587.446,"34","40"
"550",840516.197,819591.950,"34","45"
"551",840514.105,819596.492,"34","50"
"552",840504.045,819510.452,"35","0"
"553",840500.758,819506.684,"35","5"
"554",840497.355,819503.022,"35","10"
"555",840493.927,819499.382,"35","15"
"556",840490.499,819495.742,"35","20"
"557",840487.071,819492.102,"35","25"
"558",840483.644,819488.462,"35","30"
"559",840480.216,819484.822,"35","35"
"560",840476.788,819481.181,"35","40"
"561",840473.360,819477.541,"35","45"
"562",840469.933,819473.901,"35","50"
"563",840464.245,819419.201,"36","0"
"564",840467.895,819415.784,"36","5"
"565",840471.545,819412.368,"36","10"
"566",840475.196,819408.951,"36","15"
