district1,STREETTYPE,len
H24,SER,22.772
H24,MAR,16.795
H24,SER,97.324
H24,SER,18.175
H24,MAR,99.898
H24,MAR,75.144
H24,MAR,9.485
H24,MAR,75.264
H24,MAR,64.724
H24,MAR,16.966
H24,SER,28.628
H24,MAR,69.069
H24,MAR,25.149
H24,SER,330.253
H24,SER,147.777
H24,MAR,97.303
H24,SER,25.145
H24,SER,359.578
H24,SER,60.467
H24,SER,81.146
H24,SER,29.774
H24,SER,73.94
H24,MAR,18.467
H24,SER,144.184
H24,SER,66.845
H24,SER,19.715
H24,MAR,28.849
H24,MAR,17.316
H24,SER,70.093
H24,MAR,151.099
H24,MAR,279.01
H24,MAR,28.569
H24,MAR,43.872
H24,MAR,33.403
H24,MAR,69.434
H24,MAR,167.561
H24,MAR,182.176
H24,MAR,18.942
H24,MAR,15.667
H24,MAR,93.908
H24,SER,0.426
H24,SER,12.894
H24,SER,26.071
H24,SER,34.493
H24,SER,143.86
H24,SER,8.055
H24,SER,71.564
H24,SER,16.806
H24,SER,103.403
H24,SER,91.952
H24,SER,0.782
H24,SER,32.71
H24,SER,11.693
H24,SER,57.134
H24,MAR,118.269
