origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
"8","62",1.8778622,1406.4007458,0.3342354,1408.6128433
"8","63",1.8778622,1498.2365373,0.3448893,1500.4592888
"8","64",1.8778622,1585.9611997,0.3059679,1588.1450298
"8","65",1.8778622,917.4108053,0.2649683,919.5536358
"8","66",1.8778622,832.6435465,0.1235684,834.6449771
"8","67",1.8778622,791.4038347,0.0649489,793.3466459
"8","68",1.8778622,694.4233669,1.0569303,697.3581594
"8","69",1.8778622,971.7568500,10.7218796,984.3565918
"8","70",1.8778622,812.2657864,11.8663928,826.0100415
"9","0",4.7778973,1533.0070497,4.7471764,1542.5321233
"9","1",4.7778973,1431.1791897,0.0000000,1435.9570870
"9","2",4.7778973,1200.5249426,0.0000000,1205.3028398
"9","3",4.7778973,995.2380672,0.0000000,1000.0159645
"9","4",4.7778973,933.1798602,0.0000000,937.9577574
"9","5",4.7778973,926.1967595,0.0000000,930.9746568
"9","6",4.7778973,691.5678699,0.0000000,696.3457672
"9","7",4.7778973,375.5811405,1.7180208,382.0770586
"9","8",4.7778973,371.2347608,1.8778622,377.8905202
"9","9",0.0000000,0.0000000,0.0000000,0.0000000
"9","10",4.7778973,1023.5525254,1.8035773,1030.1339999
"9","11",4.7778973,1015.5638764,1.2020156,1021.5437893
"9","12",4.7778973,1070.2370151,1.2986645,1076.3135769
"9","13",4.7778973,1135.3256403,1.1028969,1141.2064345
"9","14",4.7778973,1203.9489093,0.9151507,1209.6419573
"9","15",4.7778973,1188.4154993,0.8182880,1194.0116846
"9","16",4.7778973,743.7712067,1.4445217,749.9936257
"9","17",4.7778973,817.3254061,1.6228738,823.7261772
"9","18",4.7778973,824.4666604,1.6199273,830.8644850
"9","19",4.7778973,843.5664234,1.4010424,849.7453631
"9","20",4.7778973,963.8579560,0.1292292,968.7650825
"9","21",4.7778973,1350.6715283,0.8968344,1356.3462600
"9","22",4.7778973,1291.4964923,0.4529877,1296.7273772
"9","23",4.7778973,1247.5369403,0.3076314,1252.6224690
"9","24",4.7778973,1303.7661699,0.9857910,1309.5298582
"9","25",4.7778973,1169.6669098,0.0925177,1174.5373248
"9","26",4.7778973,1238.8104004,0.1756824,1243.7639801
"9","27",4.7778973,898.3150487,1.4749853,904.5679312
"9","28",4.7778973,873.7222495,1.2392569,879.7394037
"9","29",4.7778973,819.6395133,0.8054439,825.2228544
"9","30",4.7778973,906.8540755,1.1788190,912.8107917
"9","31",4.7778973,938.3821050,0.1033514,943.2633537
"9","32",4.7778973,1215.8452745,0.6362029,1221.2593747
"9","33",4.7778973,1195.7619089,0.5888800,1201.1286862
"9","34",4.7778973,1254.1058690,1.4175794,1260.3013456
"9","35",4.7778973,1274.8063275,1.4426232,1281.0268480
"9","36",4.7778973,1128.9105135,0.4212628,1134.1096736
"9","37",4.7778973,1120.4428993,0.5352641,1125.7560606
"9","38",4.7778973,1010.0902715,0.1792728,1015.0474416
"9","39",4.7778973,978.1221505,0.5458849,983.4459327
"9","40",4.7778973,969.0773382,0.6940843,974.5493198
"9","41",4.7778973,1003.9611449,0.1241398,1008.8631820
"9","42",4.7778973,962.9388239,0.7545976,968.4713188
"9","43",4.7778973,1574.2741682,0.1588003,1579.2108658
"9","44",4.7778973,1635.1309292,3.8020801,1643.7109066
"9","45",4.7778973,1653.9503718,1.9766903,1660.7049594
"9","46",4.7778973,666.3150031,0.1941626,671.2870630
"9","47",4.7778973,746.9323802,2.4118715,754.1221490
"9","48",4.7778973,1092.2495891,0.9248293,1097.9523156
"9","49",4.7778973,1821.6247843,0.4510897,1826.8537713
"9","50",4.7778973,1753.4022247,1.1790701,1759.3591921
"9","51",4.7778973,1994.6872757,0.5528679,2000.0180409
"9","52",4.7778973,1666.8818174,0.2485793,1671.9082939
"9","53",4.7778973,1654.5279088,0.6557747,1659.9615807
"9","54",4.7778973,1627.5239024,0.4995255,1632.8013251
"9","55",4.7778973,1526.4222871,0.3998232,1531.6000075
"9","56",4.7778973,1464.1148213,2.2965769,1471.1892955
"9","57",4.7778973,1392.6696010,1.1393830,1398.5868812
"9","58",4.7778973,1633.5989500,0.2599727,1638.6368200
"9","59",4.7778973,1657.8475687,0.2276089,1662.8530748
"9","60",4.7778973,1694.2342923,0.0722521,1699.0844417
"9","61",4.7778973,2158.7450384,0.0977278,2163.6206635
"9","62",4.7778973,1777.6355065,0.3342354,1782.7476392
"9","63",4.7778973,1869.4712980,0.3448893,1874.5940846
"9","64",4.7778973,1957.1959605,0.3059679,1962.2798257
"9","65",4.7778973,1288.6455661,0.2649683,1293.6884317
"9","66",4.7778973,1203.8783073,0.1235684,1208.7797730
"9","67",4.7778973,1162.6385955,0.0649489,1167.4814417
"9","68",4.7778973,1065.6581276,1.0569303,1071.4929552
"9","69",4.7778973,573.2115699,10.7218796,588.7113468
"9","70",4.7778973,193.0969730,11.8663928,209.7412631
"10","0",1.8035773,2430.2513477,4.7471764,2436.8021013
"10","1",1.8035773,2328.4234877,0.0000000,2330.2270650
"10","2",1.8035773,2097.7692406,0.0000000,2099.5728178
"10","3",1.8035773,2087.6956639,0.0000000,2089.4992412
"10","4",1.8035773,2040.4899764,0.0000000,2042.2935537
"10","5",1.8035773,2033.5068758,0.0000000,2035.3104530
"10","6",1.8035773,1798.8779862,0.0000000,1800.6815635
"10","7",1.8035773,1482.8912568,1.7180208,1486.4128548
"10","8",1.8035773,1478.5448770,1.8778622,1482.2263165
"10","9",,,,
"10","10",0.0000000,0.0000000,0.0000000,0.0000000
"10","11",1.8035773,1132.4704185,1.2020156,1135.4760113
"10","12",1.8035773,46.6844897,1.2986645,49.7867315
"10","13",1.8035773,111.7731149,1.1028969,114.6795891
"10","14",1.8035773,180.3963840,0.9151507,183.1151119
"10","15",1.8035773,164.8629740,0.8182880,167.4848392
"10","16",1.8035773,1851.0813230,1.4445217,1854.3294219
"10","17",1.8035773,563.5529215,1.6228738,566.9793726
"10","18",1.8035773,570.6941759,1.6199273,574.1176804
"10","19",1.8035773,589.7939388,1.4010424,592.9985585
"10","20",1.8035773,741.3590760,0.1292292,743.2918824
"10","21",1.8035773,1096.8990438,0.8968344,1099.5994554
"10","22",1.8035773,1037.7240077,0.4529877,1039.9805726
"10","23",1.8035773,993.7644557,0.3076314,995.8756644
"10","24",1.8035773,1049.9936853,0.9857910,1052.7830536
"10","25",1.8035773,915.8944252,0.0925177,917.7905202
"10","26",1.8035773,985.0379159,0.1756824,987.0171756
"10","27",1.8035773,2005.6251649,1.4749853,2008.9037275
