sampleid,x,y
363,840921.825,818883.184
364,840897.911,818924.311
365,840886.396,818939.006
366,840890.001,818934.405
367,840905.927,818914.082
368,840893.910,818929.416
369,840918.350,818896.286
370,840876.979,818951.023
371,840883.232,818943.043
372,840819.679,819026.859
373,840822.919,819022.853
374,840826.189,819018.961
375,840882.842,818958.092
376,840844.631,819005.953
377,840903.991,818930.573
378,840914.321,818915.830
379,840872.185,818971.441
380,840924.778,818903.085
381,840938.960,818893.225
382,840853.120,818995.321
383,840894.007,818944.108
384,840931.718,818896.539
385,840900.394,818935.707
386,840857.981,818989.232
387,840918.941,818909.548
388,840945.319,818892.454
389,840867.241,818977.633
390,840861.562,818984.747
391,840907.320,818925.821
392,840848.095,819001.614
393,840875.484,818967.309
394,840911.272,818920.181
395,840840.807,819010.742
396,840888.441,818951.080
397,840832.988,819015.712
398,840879.060,818962.830
399,840897.421,818939.833
400,840828.039,819017.183
401,840919.606,818846.797
402,840916.443,818841.432
403,840912.817,818835.281
404,840910.225,818830.883
405,840906.823,818800.406
406,840913.037,818783.758
407,840904.101,818818.347
408,840914.133,818752.767
409,840903.489,818812.975
410,840915.023,818778.439
411,840905.075,818805.200
412,840905.188,818745.390
413,840893.280,818735.572
414,840897.549,818739.092
415,840919.067,818767.604
416,840885.620,818729.255
417,840917.014,818773.104
418,840918.031,818756.564
419,840907.196,818825.210
420,840910.747,818789.895
421,840909.936,818749.306
422,840919.868,818762.543
423,840908.863,818794.940
424,840881.628,818725.963
425,840909.524,818829.687
426,841388.890,819215.619
427,841383.587,819214.664
428,841372.619,819214.169
429,841366.540,819215.022
430,841377.905,819214.105
431,840436.643,819437.451
432,840431.260,819442.099
433,840443.930,819452.437
434,840460.269,819468.263
435,840450.950,819459.237
436,840465.161,819472.232
437,840455.078,819463.235
438,840438.962,819449.183
439,840426.470,819437.555
440,840429.938,819441.432
441,840461.391,819421.684
442,840450.058,819431.544
443,840456.022,819426.355
444,840443.789,819436.188
445,840438.697,819436.445
446,841281.535,819128.266
447,841247.098,819100.628
448,841240.227,819095.113
449,841255.026,819106.990
450,841261.161,819111.914
451,841274.376,819122.521
452,841269.745,819118.804
453,841232.713,819089.083
454,841265.801,819115.639
455,841286.328,819132.112
456,841251.046,819103.796
457,841547.529,818858.580
458,841554.494,818863.313
459,841542.939,818855.063
460,841537.916,818844.230
461,841567.977,818877.963
462,841540.319,818849.411
463,841560.756,818869.936
464,841564.214,818873.780
465,841322.254,819263.710
466,841330.694,819258.811
467,841308.735,819271.404
468,841317.358,819266.496
469,841336.103,819255.592
470,841364.143,819215.921
471,841342.126,819241.283
472,841338.076,819254.159
473,841350.939,819225.156
474,841357.244,819218.919
475,841346.455,819232.251
476,841339.579,819248.138
477,841344.238,819236.750
478,841142.975,818625.367
479,841148.155,818619.057
480,841153.147,818613.892
481,841159.789,818615.527
482,841139.336,818629.901
483,841164.455,818611.380
484,841160.960,818615.287
485,841167.874,818607.559
486,841106.889,819367.396
487,841085.785,819375.925
488,841094.541,819372.386
489,841059.861,819386.412
490,841099.543,819370.365
491,841080.378,819378.110
492,841140.669,819353.743
493,841072.938,819381.117
494,841064.635,819384.473
495,841118.264,819362.799
496,841130.225,819357.964
497,841154.777,819348.041
498,841149.535,819350.160
499,841060.448,819394.897
500,841123.710,819360.598
501,841135.594,819355.795
502,841112.376,819365.178
503,840268.436,819736.582
504,840254.774,819752.677
505,840250.979,819757.575
506,840287.976,819717.582
507,840232.149,819782.772
508,840228.291,819788.259
509,840218.011,819803.405
510,840280.390,819724.849
511,840262.793,819742.328
512,840214.882,819808.187
513,840258.230,819748.217
514,840246.665,819763.142
515,840292.070,819713.723
516,840221.320,819798.346
517,840224.983,819792.965
518,840242.960,819767.924
519,840295.842,819710.167
520,840276.473,819728.694
521,840236.177,819777.042
522,840272.235,819732.854
523,840211.637,819813.832
524,840239.314,819772.630
525,840284.230,819721.114
526,841135.106,818649.801
527,841142.166,818643.672
528,841128.670,818656.820
529,841647.485,819007.251
530,841658.418,819023.802
531,841652.727,819015.187
532,841661.467,819028.417
533,841644.319,819002.458
534,841655.494,819019.376
535,840516.527,819591.234
536,840531.343,819556.725
537,840525.934,819576.168
538,840529.590,819570.082
539,840531.375,819564.079
540,840520.031,819584.952
541,840530.930,819551.255
542,840514.371,819595.913
543,840522.911,819580.665
544,840500.589,819509.562
545,840492.494,819497.860
546,840476.639,819481.024
547,840471.173,819475.218
548,840487.282,819492.325
549,840480.766,819485.405
550,840496.219,819501.815
551,840469.843,819413.961
552,840627.439,819262.744
553,840492.490,819392.763
554,840586.972,819301.276
555,840542.415,819344.730
556,840566.195,819321.343
557,840524.703,819362.150
558,840488.146,819396.830
559,840498.904,819386.760
560,840598.999,819289.835
561,840611.030,819278.390
562,840484.168,819400.553
563,840519.966,819366.809
564,840570.732,819316.925
565,840594.585,819294.033
566,840578.105,819309.770
567,840528.723,819358.196
568,840618.260,819271.512
569,840512.349,819374.175
570,840631.713,819258.513
571,840465.260,819418.251
572,840477.267,819407.012
573,840553.921,819333.414
574,840547.366,819339.861
575,840622.260,819267.707
576,840473.517,819410.522
577,840583.287,819304.781
578,840562.573,819324.906
579,840605.910,819283.261
580,840535.748,819351.287
581,840506.157,819379.971
582,840590.920,819297.520
583,840558.710,819328.705
584,840516.351,819370.363
585,840574.323,819313.440
586,840544.916,819327.760
587,840616.634,819258.465
588,840556.760,819316.316
589,840484.845,819385.519
590,840469.356,819400.020
591,840590.733,819283.491
592,840539.519,819332.975
593,840581.671,819292.246
594,840562.872,819310.410
595,840576.511,819297.232
596,840513.903,819357.725
597,840496.171,819374.858
598,840621.569,819253.708
599,840527.633,819344.459
600,840462.247,819406.676
601,840610.275,819264.609
602,840474.465,819395.237
603,840635.542,819240.927
604,840568.479,819304.992
605,840458.153,819410.509
606,840625.437,819250.170
607,840523.511,819348.442
608,840594.393,819279.954
609,840509.366,819362.109
610,840503.710,819367.574
611,840519.050,819352.752
612,840603.441,819271.212
613,840481.036,819389.085
