E25NE,3815116758T20050430,North Point Centre Block A
E25SE,3813016736T20050430,North Point Centre Block B
E25SW,3807316759T20050430,Olympia Plaza
E25NW,3811216787T20050430,Southern Building
N18NE,3531220944T20050430,Shing To Building
N18SE,3531920915T20100526,Emerald Twenty Eight
N18SW,3524520930T20050430,Hang Shing Building
N18NW,3526020949T20050430,Tai Po House
E26NE,3832616811T20050430,Mido Apartments
E26SE,3828216811T20050430,Hang Ying Building
E26SW,3828916857T20050430,Coronet Court
E26NW,3833516858T20050430,Hang Seng North Point Building
N19NE,3520121085T20110927,Fairview Garden
N19SE,3524521080T20050430,Yau Luen Apartments
N19SW,3520721077T20050430,33 Maple Street
N19NW,3524221102T20050430,Hoi Cheung Building
E27NE,3853516846T20050430,Everwin Building
E27SE,3851216839T20050430,Ming Yuen Centre
E27SW,3849716904T20050430,Henan Electric Development Building
E27NW,3858116913T20050430,Kiu Kwan Mansion Block A
N20NE,3513221299T20050430,Pak Far Building
N20SE,3515921282T20050430,Tung Lo Court Block B
N20SW,3512021241T20050430,45 Tai Po Road
N20NW,3510421257T20050430,1A Un Chau Steet
E28NE,3872116898T20050430,Roca Centre Block 2
E28SE,3868016869T20050430,Maylun Apartments
E28SW,3869116946T20050430,On Ning Building
E28NW,3870916941T20050430,Chu Kee Building
N21NE,3502121448T20050430,Ka Shun Building
N21SE,3503721435T20050430,Penta House
N21SW,3499621412T20050430,Hip Fook Building
N21NW,3497621428T20050430,Wei Sun Building
E29NE,3895816911T20050430,Island Place Tower
E29SE,3884216927T20050430,HKU School of Professional and Continuing Education
E29SW,3888416979T20050430,North Point Industrial Building
E29NW,3891016985T20050430,Marble Road Telephone Exchange
N22NE,,
N22SE,,
N22SW,3485321542T20050430,Ying Lun Building
N22NW,3484221552T20050430,Furama Building
E30NE,3909816979T20050430,Healthy Gardens Block C
E30SE,3905816971T20050430,Healthy Gardens Block B
E30SW,,King's Road Playground
E30NW,,Flyover
N23NE,3469721722T20110321,Kin Man Building
N23SW,3473121696T20050430,Celebrity Commercial Centre
N23SW,3471021647T20050430,Precious Blood Hospital
N23NW,3466121708T20050430,127 Castle Peak Road
E31NE,3931316966T20050430,Hong Shing Court
E31SE,3927016985T20050430,Hong Cheung Court
E31SW,3929617042T20050430,625 King's Road
E31NW,3936417029T20070425,633 King's Road
N24NE,3455921833T20050430,136-138 Castle Peak Road
N24SE,3457921824T20050430,Wai Lee Commercial Building
N24SW,3457121779T20050430,Hung Yu Mansion Block B
N24NW,3453621809T20050430,Prince Theatre
E32NE,3949516898T20050430,Man Cheung House
E32SE,3947116941T20050430,AIA Hong Kong Tower
