街段–小合併組,街段–小合併組（英文名稱）,街段–小合併組（中文名稱）,總人口,家庭住戶數目,有人居住的屋宇單位數目
Small Street Block Group,Name of Small Street Block Group (in English),Name of Small Street Block Group (in Chinese),Total population,Domestic households,Occupied quarters
ssbg,ssbg_eng,ssbg_chi,t_pop,dh,oq
28307S,283/07 and 283/11,283/07 及 283/11,4962,1965,1962
28317,283/17,283/17,760,223,223
28318,283/18,283/18,642,207,207
28321,283/21,283/21,5091,2027,2027
28322,283/22,283/22,1206,430,430
28323,283/23,283/23,5074,1548,1548
28325,283/25,283/25,6775,2451,2471
28326,283/26,283/26,3843,1198,1198
28327,283/27,283/27,7768,3064,3064
28328S,283/28 and 283/34,283/28 及 283/34,7985,3213,3213
28329,283/29,283/29,2135,796,807
28330,283/30,283/30,543,258,258
28331,283/31,283/31,1430,574,585
28332S,283/32-33,283/32-33,1549,1297,1297
28335,283/35,283/35,2578,1012,1012
28401S,"284/01-02, 284/04-06, 284/10, 284/13-16 and 284/25-26","284/01-02, 284/04-06, 284/10, 284/13-16 及 284/25-26",2446,895,840
28403S,284/03 and 284/08-09,284/03 及 284/08-09,1314,525,525
28407,284/07,284/07,1716,544,548
28411S,284/11 and 284/17,284/11 及 284/17,962,394,394
28412,284/12,284/12,1462,482,482
28418S,284/18-19,284/18-19,1242,398,410
28420,284/20,284/20,3184,849,875
28421S,284/21 and 284/24,284/21 及 284/24,2011,686,686
28422,284/22,284/22,490,216,216
28423,284/23,284/23,1080,404,404
28427,284/27,284/27,2964,1028,1018
28502S,285/02-03 and 285/25,285/02-03 及 285/25,609,218,218
28504,285/04,285/04,646,251,251
28505,285/05,285/05,651,281,281
28506S,285/06-07,285/06-07,1025,404,404
28508,285/08,285/08,1270,441,441
28509,285/09,285/09,630,295,295
28510,285/10,285/10,1013,446,446
28511,285/11,285/11,1405,563,563
28512,285/12,285/12,1976,745,745
28513,285/13,285/13,1028,395,395
28514,285/14,285/14,449,226,226
28516S,285/16-17,285/16-17,842,331,331
28518,285/18,285/18,1185,500,500
28519,285/19,285/19,581,268,268
28520,285/20,285/20,677,279,279
28521,285/21,285/21,631,235,235
28522,285/22,285/22,787,294,294
28523S,285/23-24,285/23-24,754,348,348
28602S,286/02-03 and 286/05-12,286/02-03 及 286/05-12,31054,13204,13204
28701,287/01,287/01,18551,7274,7295
28804S,288/04-05 and 289/01,288/04-05 及 289/01,8042,2327,2345
28806S,288/06-07 and 288/23,288/06-07 及 288/23,4430,1354,1375
28808,288/08,288/08,4652,1478,1507
28809,288/09,288/09,12691,4167,4174
28810,288/10,288/10,11347,3573,3581
28811,288/11,288/11,4647,1455,1429
28812S,288/12 and 288/22,288/12 及 288/22,521,208,208
28813S,288/13-14 and 288/16,288/13-14 及 288/16,1494,561,561
28815,288/15,288/15,5951,1960,1960
28817,288/17,288/17,1958,676,676
28818,288/18,288/18,5326,1820,1820
28819,288/19,288/19,3864,1498,1498
28821,288/21,288/21,1266,380,380
29001S,290/01-02,290/01-02,6639,1861,1861
29003S,290/03-05 and 290/10,290/03-05 及 290/10,6037,1642,1654
29006,290/06,290/06,15289,4515,4543
29007S,290/07-08 and 290/11-13,290/07-08 及 290/11-13,1350,613,613
29009,290/09,290/09,4945,1416,1426
29014S,290/14-16,290/14-16,27443,8470,8470
29101S,291/01-02,291/01-02,11484,4445,4445
29103S,291/03-04,291/03-04,744,257,257
29105,291/05,291/05,9302,3974,3995
29106,291/06,291/06,20976,8733,8733
29107S,291/07-08 and 291/11-13,291/07-08 及 291/11-13,15329,5672,5695
29115,291/15,291/15,9911,4659,4678
29117,291/17,291/17,17698,5846,5869
29118,291/18,291/18,942,275,275
29201S,"292/01-02, 292/05 and 292/07-08","292/01-02, 292/05 及 292/07-08",18530,6702,6751
29209,292/09,292/09,7905,2961,2979
29210,292/10,292/10,12696,4176,4205
29211S,292/11 and 292/13,292/11 及 292/13,4253,1419,1411
29212,292/12,292/12,7634,2089,2099
29301,293/01,293/01,19402,6299,6306
29302,293/02,293/02,9904,3026,3017
29303,293/03,293/03,18380,6357,6389
29305S,293/05-06,293/05-06,24931,7391,7391
29307,293/07,293/07,16979,4994,4995
29308S,293/08 and 296/01,293/08 及 296/01,574,254,254
29401,294/01,294/01,1217,371,371
29403S,294/03-04 and 294/60,294/03-04 及 294/60,2335,873,902
29405,294/05,294/05,3544,1155,1165
29406,294/06,294/06,1416,572,572
29407S,294/07 and 294/13,294/07 及 294/13,746,292,292
29408,294/08,294/08,6069,2223,2258
29409,294/09,294/09,1132,398,398
29410,294/10,294/10,2417,961,961
29411,294/11,294/11,1563,566,566
29412,294/12,294/12,2838,951,954
29414,294/14,294/14,1418,486,486
29415,294/15,294/15,4456,1900,1906
29416,294/16,294/16,12853,4562,4583
29419S,"294/19, 294/47, 294/59 and 294/62","294/19, 294/47, 294/59 及 294/62",20676,7892,7892
29420S,294/20-21,294/20-21,4429,1713,1701
29422,294/22,294/22,6840,2546,2558
29423,294/23,294/23,1111,435,415
29424S,294/24-25,294/24-25,1411,577,577
29426,294/26,294/26,2726,905,911
29427,294/27,294/27,958,383,383
29428,294/28,294/28,701,194,201
29429S,294/29-30,294/29-30,601,194,194
29431,294/31,294/31,547,216,216
29432,294/32,294/32,3411,1123,1113
29433,294/33,294/33,2564,982,971
29434S,294/34-35,294/34-35,1925,796,796
29436,294/36,294/36,548,225,225
29437,294/37,294/37,921,360,360
29438S,294/38-39,294/38-39,3790,1340,1350
29440,294/40,294/40,865,335,335
29441S,"294/41-44, 295/07-17, 295/19-21, 295/23-29 and 295/35-36","294/41-44, 295/07-17, 295/19-21, 295/23-29 及 295/35-36",3841,1441,1441
29445S,294/45-46,294/45-46,4726,1753,1753
29448,294/48,294/48,1290,473,475
29449,294/49,294/49,558,199,199
29451,294/51,294/51,15196,6545,6600
29452,294/52,294/52,3246,1118,1118
29453,294/53,294/53,22372,9421,9486
29454S,294/54 and 294/61,294/54 及 294/61,3300,1228,1228
29455,294/55,294/55,4588,1567,1587
29456,294/56,294/56,1798,980,980
29457,294/57,294/57,2023,588,588
29458,294/58,294/58,3978,1493,1496
29702,297/02,297/02,4870,1560,1560
29703S,297/03 and 297/05,297/03 及 297/05,5432,1647,1647
29706,297/06,297/06,9640,2954,2964
29707S,297/07 and 297/09,297/07 及 297/09,10106,3030,3030
29711,297/11,297/11,6602,2489,2489
29712S,297/12 and 297/18,297/12 及 297/18,5742,2971,2971
29717,297/17,297/17,5888,1903,1885
29719S,297/19-20,297/19-20,7602,2613,2613
29721,297/21,297/21,11057,3882,3890
29722S,297/22 and 297/24,297/22 及 297/24,6994,2390,2390
29723,297/23,297/23,4387,1571,1581
29725,297/25,297/25,2215,721,721
29726,297/26,297/26,1516,477,477
29727,297/27,297/27,6628,2248,2275
29728,297/28,297/28,5416,1800,1800
29729,297/29,297/29,7020,2390,2390
29802S,"298/02, 298/05-06 and 298/08","298/02, 298/05-06 及 298/08",20285,6801,6872
29809,298/09,298/09,1457,505,505
29818S,298/18-21,298/18-21,15535,3876,3886
29822,298/22,298/22,11319,3132,3132
29823,298/23,298/23,5012,1603,1603
29824,298/24,298/24,1295,452,456
29825S,298/25-27,298/25-27,827,383,384
31001S,"310/01-03, 331/01, 332/03 and 333/01-03","310/01-03, 331/01, 332/03 及 333/01-03",1090,411,411
32001S,"320/01-04, 320/07-13, 324/42 and 329/02-04","320/01-04, 320/07-13, 324/42 及 329/02-04",7382,2404,2404
32105,321/05,321/05,1766,537,537
32108S,321/08 and 321/14,321/08 及 321/14,1232,448,448
32109,321/09,321/09,914,134,207
32110S,321/10-11,321/10-11,773,325,325
32112,321/12,321/12,1466,446,456
32113,321/13,321/13,732,223,234
32202,322/02,322/02,3377,992,992
32205,322/05,322/05,484,189,189
32303S,"323/03, 323/18 and 323/26","323/03, 323/18 及 323/26",8960,3201,3212
32307S,323/07-08 and 323/43,323/07-08 及 323/43,9014,3200,3200
32319S,323/19-24 and 323/45-46,323/19-24 及 323/45-46,19061,7150,7171
32325,323/25,323/25,3518,879,898
32327S,323/27-29,323/27-29,7694,2509,2551
32330S,323/30-31,323/30-31,12986,3908,3911
32332S,323/32 and 323/44,323/32 及 323/44,1938,717,717
32333,323/33,323/33,7612,2183,2183
32334,323/34,323/34,3995,1144,1144
32335S,323/35-36,323/35-36,2281,780,780
32337S,"323/37, 323/39-40 and 323/42","323/37, 323/39-40 及 323/42",676,179,179
32338,323/38,323/38,444,144,144
32341,323/41,323/41,2694,853,853
32404S,324/04-05 and 324/16,324/04-05 及 324/16,7657,3285,3309
32406,324/06,324/06,4466,1428,1430
32407,324/07,324/07,2929,953,953
32408S,324/08-09,324/08-09,2272,895,905
32410,324/10,324/10,1980,706,717
32411,324/11,324/11,1503,480,480
32412,324/12,324/12,5323,2065,2065
32415,324/15,324/15,3900,1392,1395
32417,324/17,324/17,7068,2420,2418
32418S,324/18-20,324/18-20,1534,490,490
32422,324/22,324/22,10889,3647,3659
32425S,"324/25, 324/27 and 324/55","324/25, 324/27 及 324/55",488,201,201
32426S,"324/26, 324/30, 324/44-47 and 324/49-50","324/26, 324/30, 324/44-47 及 324/49-50",3930,1455,1472
32428,324/28,324/28,1983,662,662
32433,324/33,324/33,1559,517,537
32434,324/34,324/34,2467,880,880
32435,324/35,324/35,10816,3736,3736
32436,324/36,324/36,792,284,284
32437,324/37,324/37,1535,569,569
32438S,324/38-39,324/38-39,1002,250,254
32440,324/40,324/40,3027,1032,1032
32441,324/41,324/41,2831,905,905
32443,324/43,324/43,17581,5457,5457
32451,324/51,324/51,2163,857,858
32452,324/52,324/52,724,265,265
32453,324/53,324/53,1109,278,278
32454,324/54,324/54,7353,2837,2861
32503S,325/03 and 325/17,325/03 及 325/17,5031,1583,1589
32505,325/05,325/05,29371,10438,10462
32508S,"325/08, 325/19 and 325/22","325/08, 325/19 及 325/22",914,297,297
32509S,325/09-10,325/09-10,1749,589,589
32511,325/11,325/11,2240,888,888
32516,325/16,325/16,16954,6291,6311
32521,325/21,325/21,573,209,209
32601,326/01,326/01,2436,884,918
32602S,326/02 and 326/20,326/02 及 326/20,11706,3947,3959
32603,326/03,326/03,6039,1990,1990
32604,326/04,326/04,6903,2230,2225
32605,326/05,326/05,13098,4775,4819
32608,326/08,326/08,7521,2956,2956
32609,326/09,326/09,2079,737,737
32610,326/10,326/10,7065,2471,2471
32611,326/11,326/11,42474,14667,14745
32612S,326/12 and 326/27-29,326/12 及 326/27-29,3679,1087,1104
32613,326/13,326/13,7573,2083,2130
32615,326/15,326/15,18263,6119,6146
32617S,326/17-18 and 326/24,326/17-18 及 326/24,1999,631,641
32621,326/21,326/21,28310,9306,9307
32625S,326/25-26,326/25-26,5056,1854,1863
32630,326/30,326/30,3254,981,981
32702S,"327/02, 327/12 and 327/25","327/02, 327/12 及 327/25",484,181,181
32703,327/03,327/03,553,151,151
32704,327/04,327/04,18052,5678,5761
32706,327/06,327/06,4055,1284,1284
32707,327/07,327/07,1119,399,399
32708,327/08,327/08,20307,6517,6517
32710,327/10,327/10,15876,5418,5421
32713,327/13,327/13,17466,5830,5859
32714S,327/14-15,327/14-15,7328,2765,2774
32716,327/16,327/16,2780,1033,1036
32717,327/17,327/17,15843,5104,5104
32718,327/18,327/18,2279,837,837
32719S,327/19-21 and 327/23-24,327/19-21 及 327/23-24,6206,1857,1866
32722,327/22,327/22,1299,526,526
32802S,328/02 and 328/12-15,328/02 及 328/12-15,540,255,255
32803,328/03,328/03,8346,2777,2777
32804S,328/04 and 328/08,328/04 及 328/08,6600,1996,1996
32805S,328/05 and 328/07,328/05 及 328/07,7324,2530,2530
32806,328/06,328/06,12166,4747,4747
32809,328/09,328/09,678,282,282
32816,328/16,328/16,1819,658,658
32817,328/17,328/17,1033,350,350
32818S,328/18-19 and 328/23,328/18-19 及 328/23,680,229,229
32820,328/20,328/20,13959,4118,4109
32821S,328/21-22,328/21-22,754,26,44
32824,328/24,328/24,1404,11,63
32825,328/25,328/25,1967,680,660
33401S,334/01-04,334/01-04,616,207,207
33501S,335/01-02 and 335/08,335/01-02 及 335/08,1515,603,603
33503S,335/03 and 335/10,335/03 及 335/10,12030,3748,3777
33504,335/04,335/04,4254,1252,1262
33505,335/05,335/05,3926,1297,1297
33506S,335/06-07 and 335/09,335/06-07 及 335/09,4892,1787,1787
33601,336/01,336/01,1127,443,443
33602,336/02,336/02,466,165,183
33603S,"336/03, 336/05-08, 340/07 and 340/09","336/03, 336/05-08, 340/07 及 340/09",9276,2931,2961
35001,350/01,350/01,13994,4766,4784
35002,350/02,350/02,6620,2316,2338
35003S,350/03 and 350/47-48,350/03 及 350/47-48,815,237,237
35004S,350/04 and 350/49,350/04 及 350/49,10752,4259,4296
35005,350/05,350/05,1207,355,357
35007,350/07,350/07,1634,518,518
35008S,"350/08, 350/54 and 350/56-57","350/08, 350/54 及 350/56-57",3965,1447,1462
35009S,"350/09, 350/11-12, 350/14, 350/25, 350/27-33, 350/35-37, 350/39 and 350/58-59","350/09, 350/11-12, 350/14, 350/25, 350/27-33, 350/35-37, 350/39 及 350/58-59",4802,1478,1478
35018S,350/18-19,350/18-19,4669,1750,1769
35038S,350/38 and 350/40,350/38 及 350/40,21272,7990,8110
35041,350/41,350/41,2122,775,775
35042,350/42,350/42,502,111,111
35043,350/43,350/43,879,210,222
35044,350/44,350/44,4308,1572,1572
35045,350/45,350/45,4572,1525,1525
35046,350/46,350/46,2325,973,963
35050,350/50,350/50,2405,798,798
35051S,350/51-52,350/51-52,3433,1002,1002
35053,350/53,350/53,10823,3186,3227
35055,350/55,350/55,5398,1710,1710
35101S,351/01-02,351/01-02,9358,2809,2833
35103,351/03,351/03,11247,3469,3510
35104,351/04,351/04,13387,4514,4514
35105,351/05,351/05,6863,2168,2178
35106,351/06,351/06,10274,3222,3259
35107S,351/07-17 and 351/30,351/07-17 及 351/30,10092,4273,4275
35118,351/18,351/18,13964,4247,4267
35119S,351/19-22 and 351/24-28,351/19-22 及 351/24-28,2485,843,843
41101S,"411/01, 412/01, 413/01-02, 414/02, 415/01, 416/01, 427/07 and 427/16-17","411/01, 412/01, 413/01-02, 414/02, 415/01, 416/01, 427/07 及 427/16-17",1134,327,327
42101S,"421/01, 421/03-04, 421/09-16, 422/01-02, 422/07, 422/12-18 and 422/22-23","421/01, 421/03-04, 421/09-16, 422/01-02, 422/07, 422/12-18 及 422/22-23",6502,2074,2094
42203,422/03,422/03,25276,9587,9689
42204,422/04,422/04,1877,802,802
42205S,422/05-06,422/05-06,12923,4085,4117
42209,422/09,422/09,9627,2811,2855
42210S,422/10-11,422/10-11,9341,3251,3251
42224,422/24,422/24,4781,1711,1711
42225,422/25,422/25,10520,3467,3478
42226,422/26,422/26,6476,2630,2656
42303,423/03,423/03,11755,3598,3621
42304S,"423/04-05, 423/07, 423/10-16, 423/18-25, 423/51, 423/72 and 423/74","423/04-05, 423/07, 423/10-16, 423/18-25, 423/51, 423/72 及 423/74",989,416,419
42309S,423/09 and 423/39,423/09 及 423/39,4801,1516,1516
42317S,"423/17, 423/26, 423/29-33 and 423/71","423/17, 423/26, 423/29-33 及 423/71",8997,3256,3281
42328,423/28,423/28,5122,1765,1778
42334S,423/34-35,423/34-35,21776,8091,8142
42336S,423/36-37,423/36-37,18817,8391,8391
42338,423/38,423/38,10821,3756,3757
42340S,423/40 and 423/70,423/40 及 423/70,6117,2140,2140
42341S,423/41-42,423/41-42,686,120,186
42343,423/43,423/43,2617,70,133
42344S,423/44 and 423/69,423/44 及 423/69,11996,4382,4393
42346S,"423/46, 423/59, 423/75 and 428/01","423/46, 423/59, 423/75 及 428/01",26495,9245,9282
42349S,423/49-50 and 423/56-57,423/49-50 及 423/56-57,1065,325,325
42354,423/54,423/54,2537,918,918
42358,423/58,423/58,15253,5093,5106
42360S,423/60-61,423/60-61,10894,7537,7537
42362,423/62,423/62,4627,1678,1678
42363S,423/63 and 423/66,423/63 及 423/66,1950,580,580
42364,423/64,423/64,689,236,236
42365,423/65,423/65,473,149,149
42367S,423/67-68,423/67-68,1652,519,510
42373,423/73,423/73,624,177,200
42404S,424/04 and 424/08-09,424/04 及 424/08-09,1020,380,380
42405S,424/05-06,424/05-06,1979,806,806
42407,424/07,424/07,2614,251,308
42410,424/10,424/10,1910,527,527
42411,424/11,424/11,2102,729,740
42412,424/12,424/12,1781,548,550
42413,424/13,424/13,2207,726,726
42415S,424/15-17,424/15-17,4967,1800,1812
42418,424/18,424/18,3916,1327,1327
42419S,424/19-20,424/19-20,5766,2230,2230
42421,424/21,424/21,3220,1059,1059
42422,424/22,424/22,15545,6134,6158
42423,424/23,424/23,25680,9018,9010
42424S,424/24-25 and 424/28,424/24-25 及 424/28,8925,3152,3172
42426S,"424/26-27, 424/29 and 424/32-33","424/26-27, 424/29 及 424/32-33",6528,2163,2163
42430S,424/30 and 424/34,424/30 及 424/34,12145,4104,4113
42431,424/31,424/31,8593,3405,3441
42502S,"425/02, 425/05 and 425/48","425/02, 425/05 及 425/48",1416,450,450
42504S,425/04 and 425/41,425/04 及 425/41,4636,1854,1842
42506S,425/06 and 425/35,425/06 及 425/35,1136,341,341
42507S,425/07-08,425/07-08,1730,656,656
42510S,425/10 and 425/26,425/10 及 425/26,1940,530,543
42511,425/11,425/11,7532,2438,2438
42512S,425/12 and 425/17,425/12 及 425/17,1025,277,277
42513,425/13,425/13,5100,1799,1799
42514,425/14,425/14,4621,1423,1423
42516S,425/16 and 425/25,425/16 及 425/25,1109,322,322
42519,425/19,425/19,555,176,176
42520,425/20,425/20,622,224,224
42522,425/22,425/22,1531,395,395
42523,425/23,425/23,1692,608,608
42527S,"425/27, 425/32, 425/36 and 425/45","425/27, 425/32, 425/36 及 425/45",17193,4954,4993
42529,425/29,425/29,452,138,138
42530S,"425/30-31, 425/33 and 425/46","425/30-31, 425/33 及 425/46",4579,1706,1708
42534,425/34,425/34,428,133,133
42537,425/37,425/37,575,161,161
42539,425/39,425/39,4347,1647,1647
42540,425/40,425/40,6528,2434,2434
42547,425/47,425/47,2238,864,875
42601S,426/01-08,426/01-08,1906,727,728
42609,426/09,426/09,2508,899,899
42610S,"426/10-11, 426/19-20 and 426/30","426/10-11, 426/19-20 及 426/30",2092,655,667
42612S,426/12 and 426/14-18,426/12 及 426/14-18,1443,489,489
42621,426/21,426/21,1128,443,443
42622,426/22,426/22,1245,359,359
42623,426/23,426/23,1792,543,543
42625S,426/25-29,426/25-29,1441,329,329
42631,426/31,426/31,4640,1523,1523
42708S,"427/08, 427/10-11, 427/14 and 427/20-21","427/08, 427/10-11, 427/14 及 427/20-21",1159,239,267
42709,427/09,427/09,682,191,191
42715,427/15,427/15,1726,438,438
42718,427/18,427/18,2535,788,788
42719,427/19,427/19,750,10,24
43101S,"431/01-03, 432/01-04, 432/06-07, 433/01 and 434/01-02","431/01-03, 432/01-04, 432/06-07, 433/01 及 434/01-02",671,237,237
43205,432/05,432/05,1221,443,443
44101,441/01,441/01,3885,1266,1260
44102S,"441/02, 441/05 and 441/12-13","441/02, 441/05 及 441/12-13",838,326,326
44104S,"441/04, 441/06, 441/09 and 441/11","441/04, 441/06, 441/09 及 441/11",3146,1180,1204
44110S,"441/10, 441/18 and 441/20","441/10, 441/18 及 441/20",2415,871,871
44114S,441/14-15,441/14-15,3591,1456,1478
44116S,441/16-17,441/16-17,1627,690,690
44119,441/19,441/19,808,263,263
44201S,442/01-02,442/01-02,1194,361,400
44203S,442/03 and 442/05,442/03 及 442/05,3136,1179,1179
44204S,442/04 and 442/14-15,442/04 及 442/14-15,1053,347,347
44206S,442/06 and 442/12,442/06 及 442/12,579,256,256
44213,442/13,442/13,995,278,278
51001S,510/01 and 510/06-07,510/01 及 510/06-07,20851,6351,6351
51002S,510/02-03,510/02-03,12436,3579,3624
51004,510/04,510/04,27730,8740,8740
51005,510/05,510/05,9072,3208,3228
51008,510/08,510/08,30277,10113,10138
51009S,"510/09, 510/12 and 510/15-16","510/09, 510/12 及 510/15-16",7313,2783,2811
51010S,510/10-11,510/10-11,4513,1601,1624
51013,510/13,510/13,4028,1366,1376
51014,510/14,510/14,18363,5879,5879
51017S,510/17-20,510/17-20,11171,3910,3945
51021,510/21,510/21,10511,3510,3541
51022,510/22,510/22,7209,2618,2619
51023S,510/23-24,510/23-24,5404,1976,1974
51025,510/25,510/25,11145,5493,5522
51026,510/26,510/26,27142,8787,8820
51027,510/27,510/27,9657,3744,3744
51028,510/28,510/28,6381,2333,2333
51029S,510/29-30,510/29-30,11844,3909,3930
51031S,510/31-32,510/31-32,14752,3319,3319
51033S,510/33-36,510/33-36,2970,998,998
51037,510/37,510/37,12660,4044,4044
51038S,510/38-40,510/38-40,20803,5705,5705
51101,511/01,511/01,1653,569,569
51102,511/02,511/02,551,221,221
51103S,511/03-04,511/03-04,973,328,328
51105,511/05,511/05,843,266,266
51106S,511/06-07 and 511/10-11,511/06-07 及 511/10-11,529,221,221
51108S,511/08-09,511/08-09,1329,426,426
51201S,512/01 and 512/09-11,512/01 及 512/09-11,473,184,201
51203S,512/03-04,512/03-04,1660,549,549
51205S,512/05-06,512/05-06,415,152,152
51207,512/07,512/07,2322,633,641
51208S,512/08 and 512/14-15,512/08 及 512/14-15,816,285,285
51212,512/12,512/12,1403,500,500
51213,512/13,512/13,455,225,225
51301S,513/01-03,513/01-03,752,296,296
51304S,"513/04-05, 513/08 and 513/13","513/04-05, 513/08 及 513/13",590,232,232
51306S,513/06-07 and 513/09-12,513/06-07 及 513/09-12,502,186,186
51401S,514/01-02 and 514/12,514/01-02 及 514/12,1448,513,533
51403S,"514/03-05, 514/11 and 514/13","514/03-05, 514/11 及 514/13",1279,428,425
51406S,514/06-09 and 514/14,514/06-09 及 514/14,1052,461,461
51501S,515/01-02,515/01-02,9425,3823,3823
51503S,515/03-04 and 515/16-19,515/03-04 及 515/16-19,1094,394,394
51507S,515/07-08 and 515/22-23,515/07-08 及 515/22-23,1603,580,580
51509,515/09,515/09,1558,548,548
51510,515/10,515/10,1615,582,576
51511,515/11,515/11,600,277,277
51512S,515/12-13,515/12-13,1211,491,479
51514S,515/14-15,515/14-15,1766,615,615
51520S,515/20-21,515/20-21,678,248,248
51601S,516/01-02 and 516/04-06,516/01-02 及 516/04-06,1576,530,530
51603,516/03,516/03,1397,423,441
51701S,"517/01-02, 517/04 and 517/06-09","517/01-02, 517/04 及 517/06-09",1115,389,389
51848S,518/48 and 518/52,518/48 及 518/52,775,233,240
51850S,518/50 and 518/53-54,518/50 及 518/53-54,760,287,287
51851,518/51,518/51,589,199,199
51901S,"519/01, 519/03, 519/08 and 519/14","519/01, 519/03, 519/08 及 519/14",649,253,253
51902S,519/02 and 519/06-07,519/02 及 519/06-07,1316,494,494
51904,519/04,519/04,3570,1224,1234
51905,519/05,519/05,1501,511,511
51909,519/09,519/09,1990,607,598
51910,519/10,519/10,1884,635,635
51911,519/11,519/11,1500,620,620
51912S,519/12-13,519/12-13,878,331,331
52101S,521/01-02 and 521/05,521/01-02 及 521/05,982,413,405
52103S,521/03-04,521/03-04,1677,566,587
52106S,"521/06-07, 521/15 and 521/18","521/06-07, 521/15 及 521/18",1108,334,334
52108,521/08,521/08,1318,511,511
52109,521/09,521/09,1181,458,454
52110,521/10,521/10,723,261,270
52111S,"521/11-12, 521/14 and 521/16-17","521/11-12, 521/14 及 521/16-17",1156,555,555
52113,521/13,521/13,1108,344,344
52201S,"522/01, 522/03, 522/13, 522/25-26 and 522/28","522/01, 522/03, 522/13, 522/25-26 及 522/28",1443,455,470
52202,522/02,522/02,892,293,300
52204S,522/04 and 522/17-20,522/04 及 522/17-20,1030,316,316
52205,522/05,522/05,1019,387,392
52206,522/06,522/06,2380,773,773
52207S,"522/07, 522/21-22 and 522/24","522/07, 522/21-22 及 522/24",1135,432,390
52208,522/08,522/08,3591,1092,1102
52209S,522/09-10,522/09-10,1724,598,598
52211,522/11,522/11,1652,560,571
52212,522/12,522/12,1384,591,591
52214,522/14,522/14,974,311,311
52215,522/15,522/15,1426,477,484
52216,522/16,522/16,466,158,158
52223,522/23,522/23,499,164,164
52302,523/02,523/02,979,316,316
52303,523/03,523/03,1194,424,424
52309,523/09,523/09,1733,578,578
52310S,523/10 and 523/22,523/10 及 523/22,883,353,373
52313S,"523/13, 523/15, 523/18 and 523/23","523/13, 523/15, 523/18 及 523/23",822,290,291
52314,523/14,523/14,606,277,277
52321,523/21,523/21,873,322,322
52401S,524/01 and 524/07,524/01 及 524/07,1815,771,771
52402S,524/02-04 and 524/33-38,524/02-04 及 524/33-38,2513,1019,1037
52405,524/05,524/05,2901,1110,1110
52406,524/06,524/06,1614,782,782
52408,524/08,524/08,1242,473,473
52409,524/09,524/09,1143,515,515
52410,524/10,524/10,1684,656,668
52411,524/11,524/11,964,351,351
52412,524/12,524/12,2683,966,966
52413,524/13,524/13,2443,864,864
52414,524/14,524/14,3361,1006,1024
52415,524/15,524/15,1748,554,554
52417,524/17,524/17,1602,633,644
52418,524/18,524/18,2465,903,922
52419S,524/19-20,524/19-20,3590,1535,1543
52423S,524/23-24,524/23-24,1378,532,532
52425,524/25,524/25,2117,713,713
52426,524/26,524/26,10524,3787,3868
52427,524/27,524/27,3168,1126,1126
52428S,524/28-29,524/28-29,2790,970,970
52430,524/30,524/30,4209,1480,1480
52431,524/31,524/31,3976,1505,1513
52432,524/32,524/32,491,139,139
52439,524/39,524/39,2872,901,913
52440,524/40,524/40,1067,325,325
52441,524/41,524/41,838,307,316
52501S,525/01-07 and 525/16-18,525/01-07 及 525/16-18,1259,448,448
52601S,526/01-02 and 526/09,526/01-02 及 526/09,646,235,235
52603S,526/03-04 and 526/08,526/03-04 及 526/08,580,225,225
52605,526/05,526/05,1838,645,645
52606S,526/06-07 and 526/10,526/06-07 及 526/10,982,328,314
52701S,527/01 and 527/21,527/01 及 527/21,1879,796,804
52702,527/02,527/02,6931,2324,2337
52704,527/04,527/04,2387,891,884
52705,527/05,527/05,553,225,225
52706,527/06,527/06,2199,830,830
52707,527/07,527/07,1077,341,341
52709S,527/09 and 527/15,527/09 及 527/15,562,244,244
52710,527/10,527/10,4912,1479,1490
52711,527/11,527/11,2138,694,705
52712,527/12,527/12,23880,8267,8289
52713,527/13,527/13,3590,1379,1388
52714,527/14,527/14,5347,1803,1816
52716S,527/16-18,527/16-18,1071,426,426
52719S,527/19 and 527/24,527/19 及 527/24,5624,2101,2102
52720,527/20,527/20,768,228,228
52722,527/22,527/22,2005,689,689
52723,527/23,527/23,3066,958,969
52801S,528/01-09,528/01-09,5819,1890,1939
52901,529/01,529/01,7441,3014,3033
52902S,529/02 and 529/06,529/02 及 529/06,1562,473,473
52903,529/03,529/03,637,224,224
52904,529/04,529/04,4579,1388,1388
52905,529/05,529/05,523,170,180
52907,529/07,529/07,4968,1553,1553
52908,529/08,529/08,1294,417,417
53101S,"531/01-02, 531/05-07, 531/21-22 and 531/27","531/01-02, 531/05-07, 531/21-22 及 531/27",1187,383,383
53103S,"531/03, 531/10, 531/23 and 531/26","531/03, 531/10, 531/23 及 531/26",979,304,304
53104,531/04,531/04,1116,359,359
53108,531/08,531/08,1602,479,479
53109,531/09,531/09,1873,542,530
53111S,"531/11-12, 531/15 and 531/17-18","531/11-12, 531/15 及 531/17-18",1161,505,521
53113,531/13,531/13,430,146,146
53114,531/14,531/14,1010,355,355
53119,531/19,531/19,718,224,224
53120,531/20,531/20,1175,441,441
53124,531/24,531/24,490,175,175
53125,531/25,531/25,3586,979,979
53201S,"532/01, 532/05 and 532/11-13","532/01, 532/05 及 532/11-13",461,184,184
53202,532/02,532/02,896,307,307
53203,532/03,532/03,853,294,294
53204,532/04,532/04,745,221,221
53206,532/06,532/06,1153,364,364
53207,532/07,532/07,781,257,257
53208S,532/08 and 532/10,532/08 及 532/10,757,321,321
