街段–小合併組,街段–小合併組（英文名稱）,街段–小合併組（中文名稱）,總人口,家庭住戶數目,有人居住的屋宇單位數目
Small Street Block Group,Name of Small Street Block Group (in English),Name of Small Street Block Group (in Chinese),Total population,Domestic households,Occupied quarters
ssbg,ssbg_eng,ssbg_chi,t_pop,dh,oq
14538,145/38,145/38,3674,1062,1062
14601,146/01,146/01,1483,608,608
14602S,146/02-03,146/02-03,1054,479,478
14604S,146/04-05,146/04-05,704,212,212
14606S,146/06 and 146/40,146/06 及 146/40,795,282,282
14607S,146/07-08 and 146/11-12,146/07-08 及 146/11-12,1180,517,517
14609,146/09,146/09,1980,629,641
14610,146/10,146/10,1411,657,669
14613S,146/13-14 and 147/01-05,146/13-14 及 147/01-05,624,331,344
14615S,146/15-21,146/15-21,1253,474,474
14622,146/22,146/22,1113,454,444
14623S,146/23-30,146/23-30,865,307,307
14631,146/31,146/31,1325,593,593
14632S,146/32 and 146/37-38,146/32 及 146/37-38,815,273,289
14634S,146/34 and 146/36,146/34 及 146/36,722,290,290
14635,146/35,146/35,1321,442,442
14801S,148/01-02 and 148/08,148/01-02 及 148/08,7550,2856,2875
14803S,148/03-04,148/03-04,520,244,244
14805,148/05,148/05,964,358,368
14806,148/06,148/06,824,293,304
14902S,"149/02, 149/04-06 and 149/08-18","149/02, 149/04-06 及 149/08-18",902,197,197
14907,149/07,149/07,1204,242,242
14919,149/19,149/19,2249,540,540
14920,149/20,149/20,5209,1314,1338
15102S,151/02 and 151/06,151/02 及 151/06,1011,376,378
15103,151/03,151/03,2829,875,875
15104S,"151/04-05, 151/39-40 and 151/43","151/04-05, 151/39-40 及 151/43",1096,518,518
15107,151/07,151/07,1135,342,342
15108S,151/08-10,151/08-10,1603,627,627
15111,151/11,151/11,1982,688,671
15112,151/12,151/12,707,191,191
15113,151/13,151/13,871,300,300
15114,151/14,151/14,1850,592,592
15115,151/15,151/15,1711,568,567
15117,151/17,151/17,1624,219,231
15118,151/18,151/18,701,342,342
15119,151/19,151/19,7326,2485,2488
15121,151/21,151/21,4219,1165,1184
15122S,151/22-23,151/22-23,1035,412,412
15124,151/24,151/24,775,433,433
15125,151/25,151/25,597,223,235
15126,151/26,151/26,819,337,337
15127,151/27,151/27,405,148,148
15128,151/28,151/28,814,379,379
15129,151/29,151/29,972,385,386
15130S,151/30-32,151/30-32,985,359,359
15135,151/35,151/35,1486,451,451
15136S,151/36-38,151/36-38,2831,849,867
15141,151/41,151/41,8162,2199,2209
15142,151/42,151/42,1663,443,443
15201,152/01,152/01,3604,1047,1049
15202,152/02,152/02,677,209,209
15203,152/03,152/03,2994,769,769
15204,152/04,152/04,3627,1033,1049
15205S,152/05-07,152/05-07,5385,1471,1498
15208,152/08,152/08,3881,971,971
15303S,"153/03-06, 153/13-14 and 153/20","153/03-06, 153/13-14 及 153/20",624,295,295
15307,153/07,153/07,1112,537,539
15308,153/08,153/08,2527,737,745
15309,153/09,153/09,4138,1538,1538
15310,153/10,153/10,872,375,353
15312,153/12,153/12,1463,580,586
15315,153/15,153/15,3049,894,928
15316,153/16,153/16,1902,754,775
15317,153/17,153/17,2794,910,902
15318,153/18,153/18,1460,611,575
15319,153/19,153/19,755,297,326
15321,153/21,153/21,2508,612,632
15322,153/22,153/22,2992,1094,1083
15327,153/27,153/27,1897,607,607
15328,153/28,153/28,1012,402,402
15329,153/29,153/29,2155,735,735
15331,153/31,153/31,2864,1006,1024
15332,153/32,153/32,1001,432,432
15333,153/33,153/33,1350,487,487
15334,153/34,153/34,2612,851,851
15337,153/37,153/37,2316,821,812
15338,153/38,153/38,2303,820,837
15339,153/39,153/39,1150,371,380
15340S,153/40-41 and 153/50,153/40-41 及 153/50,4327,1281,1291
15342,153/42,153/42,6346,2223,2250
15343,153/43,153/43,1007,316,328
15344S,153/44-47,153/44-47,499,192,192
15348,153/48,153/48,667,263,263
15349,153/49,153/49,2169,664,674
15351,153/51,153/51,602,217,218
15352,153/52,153/52,2820,798,798
15353,153/53,153/53,1062,443,443
15354,153/54,153/54,641,279,279
15355,153/55,153/55,3333,1077,1075
15356,153/56,153/56,5357,1368,1368
15401S,"154/01-04, 154/06-08, 154/10 and 154/24","154/01-04, 154/06-08, 154/10 及 154/24",1379,409,409
15409,154/09,154/09,2137,865,865
15411,154/11,154/11,2437,694,694
15413S,154/13-14,154/13-14,2175,800,800
15418S,154/18-19 and 154/22,154/18-19 及 154/22,782,186,194
15421S,154/21 and 154/23,154/21 及 154/23,2490,984,984
15501S,155/01 and 155/10-12,155/01 及 155/10-12,3075,1235,1247
15502,155/02,155/02,1231,474,486
15503S,155/03-04,155/03-04,2602,1089,1101
15507,155/07,155/07,6115,2322,2324
15508S,155/08-09,155/08-09,2350,663,663
15513,155/13,155/13,2235,784,778
15514,155/14,155/14,1402,690,702
15515,155/15,155/15,1028,349,349
15516S,155/16-17,155/16-17,575,283,283
15602,156/02,156/02,7822,2821,2810
15603,156/03,156/03,2362,790,790
15604,156/04,156/04,1588,672,672
15605,156/05,156/05,5882,1977,1996
15606,156/06,156/06,1315,420,420
15607,156/07,156/07,7264,2649,2649
15608,156/08,156/08,1610,631,631
15609S,156/09-12 and 158/01,156/09-12 及 158/01,3127,948,948
15613,156/13,156/13,10198,3301,3357
15614,156/14,156/14,8950,2851,2846
15615,156/15,156/15,1449,422,422
15702,157/02,157/02,1881,638,649
15703,157/03,157/03,1816,727,727
15704,157/04,157/04,2106,930,930
15705S,157/05-07 and 157/24,157/05-07 及 157/24,5029,1275,1275
15708,157/08,157/08,1524,494,494
15709,157/09,157/09,1642,534,534
15710S,157/10 and 157/14,157/10 及 157/14,904,472,472
15711,157/11,157/11,1757,512,523
15712S,157/12-13,157/12-13,4789,1759,1769
15715,157/15,157/15,1903,647,647
15716,157/16,157/16,6830,2342,2351
15717,157/17,157/17,520,177,177
15718,157/18,157/18,3654,1267,1277
15719,157/19,157/19,4185,1343,1343
15720,157/20,157/20,4671,1581,1581
15721,157/21,157/21,4401,1504,1534
15722,157/22,157/22,1625,586,577
15723,157/23,157/23,3494,1006,1015
16101,161/01,161/01,5347,2312,2300
16102,161/02,161/02,2670,693,693
16103,161/03,161/03,476,145,145
16104,161/04,161/04,915,453,429
16105S,161/05-06 and 161/61,161/05-06 及 161/61,651,286,286
16107S,161/07-08,161/07-08,1184,386,386
16109S,161/09 and 161/62,161/09 及 161/62,1331,523,523
16110,161/10,161/10,1092,344,344
16111,161/11,161/11,1272,486,486
16113,161/13,161/13,1146,496,496
16114,161/14,161/14,534,214,225
16115,161/15,161/15,932,322,322
16116S,161/16 and 161/90,161/16 及 161/90,435,171,171
16117,161/17,161/17,1024,347,347
16118,161/18,161/18,4580,1555,1555
16120S,161/20-23,161/20-23,1181,441,441
16124,161/24,161/24,547,247,247
16125,161/25,161/25,526,198,208
16126,161/26,161/26,1284,536,536
16127S,161/27 and 161/40,161/27 及 161/40,411,153,147
16128,161/28,161/28,828,348,348
16129,161/29,161/29,1758,460,465
16130,161/30,161/30,1443,487,497
16131S,161/31-32 and 161/34,161/31-32 及 161/34,547,197,197
16135S,161/35-36,161/35-36,925,322,322
16137S,161/37-38,161/37-38,985,414,414
16141S,161/41-42,161/41-42,403,201,201
16143,161/43,161/43,694,119,129
16144,161/44,161/44,913,416,416
16145,161/45,161/45,1974,765,765
16146,161/46,161/46,2526,952,952
16148S,161/48-49,161/48-49,698,302,302
16150,161/50,161/50,2895,1020,1020
16151,161/51,161/51,5838,2227,2227
16152S,161/52-54 and 161/67-74,161/52-54 及 161/67-74,725,227,227
16155S,161/55 and 161/75,161/55 及 161/75,553,221,229
16159S,161/59-60,161/59-60,2265,784,775
16163,161/63,161/63,2123,724,735
16164S,161/64 and 161/94,161/64 及 161/94,16386,6236,6247
16166S,161/66 and 161/92-93,161/66 及 161/92-93,5444,1578,1578
16180,161/80,161/80,590,192,192
16181S,161/81-82,161/81-82,1810,771,781
16183,161/83,161/83,667,264,264
16191,161/91,161/91,4660,1572,1575
16202S,162/02 and 162/06-07,162/02 及 162/06-07,565,143,143
16203,162/03,162/03,18861,6028,6028
16305S,163/05-07 and 163/34-35,163/05-07 及 163/34-35,700,219,219
16313S,"163/13-14, 163/20, 163/23, 163/25-26 and 163/28-31","163/13-14, 163/20, 163/23, 163/25-26 及 163/28-31",9303,3236,3236
16315,163/15,163/15,2900,906,919
16316S,163/16-18,163/16-18,6410,1983,1995
16319,163/19,163/19,4428,1359,1401
16321S,163/21-22,163/21-22,2039,552,552
16324,163/24,163/24,2085,634,650
16332,163/32,163/32,5166,2087,2087
16333,163/33,163/33,4098,1673,1673
16336,163/36,163/36,1516,562,562
16402S,164/02-03 and 165/25,164/02-03 及 165/25,5966,1923,1923
16502,165/02,165/02,8736,2575,2575
16503S,165/03 and 165/30,165/03 及 165/30,2767,1011,1020
16504,165/04,165/04,12158,4177,4177
16508S,165/08 and 165/29,165/08 及 165/29,2093,756,778
16523,165/23,165/23,1069,379,379
16524,165/24,165/24,8570,3423,3443
16526,165/26,165/26,1993,822,822
16528,165/28,165/28,4952,1617,1617
16531,165/31,165/31,5318,1803,1803
16532,165/32,165/32,4594,1503,1514
16601S,166/01-02 and 166/04,166/01-02 及 166/04,18384,5897,5931
16603S,166/03 and 166/07-08,166/03 及 166/07-08,8791,2539,2537
16605S,166/05-06,166/05-06,12167,4148,4148
16701,167/01,167/01,9438,2943,2943
16702S,167/02-03,167/02-03,7099,2236,2236
16704,167/04,167/04,5313,1792,1807
16705,167/05,167/05,9454,3181,3197
16706,167/06,167/06,15829,4977,4966
16707,167/07,167/07,1865,651,651
16708S,167/08-10,167/08-10,7928,2254,2265
17113S,"171/13-15, 171/17-21 and 171/23","171/13-15, 171/17-21 及 171/23",898,159,187
17125,171/25,171/25,749,168,168
17126S,171/26-27,171/26-27,488,155,155
17128S,171/28-30,171/28-30,481,129,138
17131S,171/31-33 and 171/35,171/31-33 及 171/35,417,33,321
17134S,"171/34, 171/39-42, 171/44 and 171/56","171/34, 171/39-42, 171/44 及 171/56",1662,376,388
17136S,171/36-38,171/36-38,420,99,99
17143S,"171/43, 171/47, 171/49-50 and 171/53","171/43, 171/47, 171/49-50 及 171/53",5229,1426,1417
17145S,171/45-46,171/45-46,607,121,148
17152,171/52,171/52,3902,1025,1034
17154,171/54,171/54,5365,1403,1411
17155,171/55,171/55,535,75,113
17201S,"172/01, 172/09 and 172/11","172/01, 172/09 及 172/11",592,208,208
17204,172/04,172/04,13609,4741,4772
17205S,172/05 and 172/07,172/05 及 172/07,1219,333,333
17206,172/06,172/06,13632,4905,4895
17208,172/08,172/08,26590,8964,8985
17210,172/10,172/10,1046,381,381
17302S,173/02 and 173/05,173/02 及 173/05,11372,3681,3751
17306S,173/06 and 173/08,173/06 及 173/08,1683,639,639
17312S,"173/12-13, 173/15 and 173/83","173/12-13, 173/15 及 173/83",646,206,209
17316,173/16,173/16,467,144,148
17317,173/17,173/17,3037,1228,1228
17318S,173/18-19,173/18-19,2148,909,909
17320,173/20,173/20,13926,5155,5165
17321S,173/21 and 173/23-24,173/21 及 173/23-24,1391,457,465
17322,173/22,173/22,781,207,218
17325,173/25,173/25,429,153,142
17326,173/26,173/26,2136,454,480
17327S,173/27-28,173/27-28,1092,348,348
17330,173/30,173/30,460,158,158
17333S,173/33-35 and 173/82,173/33-35 及 173/82,1295,417,417
17336,173/36,173/36,8172,2542,2550
17337S,173/37 and 173/39,173/37 及 173/39,690,222,222
17338,173/38,173/38,504,177,161
17340,173/40,173/40,559,159,159
17341S,173/41-43,173/41-43,1413,479,479
17344,173/44,173/44,1299,490,490
17362S,"173/62, 173/72, 173/77-78 and 173/80","173/62, 173/72, 173/77-78 及 173/80",819,219,219
17373S,173/73 and 173/81,173/73 及 173/81,858,275,275
17374S,173/74-75,173/74-75,734,214,214
17376,173/76,173/76,1286,396,396
17379,173/79,173/79,1106,404,404
17402S,"174/02, 174/04-10 and 174/13","174/02, 174/04-10 及 174/13",2283,661,661
17411,174/11,174/11,5801,1909,1909
17412,174/12,174/12,19500,7104,7095
17414S,"174/14, 174/16 and 174/38","174/14, 174/16 及 174/38",24103,6836,6858
17415,174/15,174/15,7348,2353,2353
17417S,174/17-20,174/17-20,14620,4275,4312
17421,174/21,174/21,1889,664,664
17422,174/22,174/22,1395,489,489
17423,174/23,174/23,3937,1224,1259
17424S,"174/24, 174/29-30 and 174/34","174/24, 174/29-30 及 174/34",464,149,149
17425S,174/25-26,174/25-26,867,305,305
17427S,174/27-28,174/27-28,880,319,319
17431,174/31,174/31,489,196,196
17432S,174/32-33,174/32-33,594,160,160
17439,174/39,174/39,2582,895,915
17501S,"175/01, 175/04-06, 175/08-10 and 175/14","175/01, 175/04-06, 175/08-10 及 175/14",3637,66,161
17502S,175/02-03 and 175/19-21,175/02-03 及 175/19-21,702,194,198
17511S,"175/11, 175/15 and 176/01-03","175/11, 175/15 及 176/01-03",845,168,385
17516S,175/16-17,175/16-17,5959,2022,2026
17518,175/18,175/18,3322,1268,1268
18101S,"181/01-02, 182/01-05, 182/13 and 182/21","181/01-02, 182/01-05, 182/13 及 182/21",1123,281,281
18206S,182/06-07,182/06-07,689,151,151
18208S,182/08-12 and 182/15-17,182/08-12 及 182/15-17,866,183,193
18218S,182/18-20,182/18-20,1189,258,266
18222,182/22,182/22,812,224,231
18301S,"183/01, 183/05-07, 184/01 and 184/03","183/01, 183/05-07, 184/01 及 184/03",900,247,250
18404,184/04,184/04,2295,600,607
18405S,184/05 and 184/10,184/05 及 184/10,1739,420,420
19002S,190/02-06 and 190/09-11,190/02-06 及 190/09-11,559,139,139
19103S,191/03 and 191/05,191/03 及 191/05,695,149,149
19106,191/06,191/06,1044,137,137
19107,191/07,191/07,627,140,140
19108S,191/08-13,191/08-13,998,197,207
19115S,191/15 and 191/19,191/15 及 191/19,1036,284,284
19201S,192/01-02,192/01-02,986,249,263
19205,192/05,192/05,1088,230,239
