26th 200m 2nd point_3815116758T20050430_North Point Centre Block A,3815116758T20050430,North Point Centre Block A,北角中心大廈Ａ座,5.2,LiDAR,85.300003,Photogrammetry,80.100003,x
26th 200m 3rd point _3818716789T20050430_Continental Mansion,3818716789T20050430,Continental Mansion,五洲大廈,6.9,LiDAR,76.199997,Photogrammetry,69.29999699999999,x
27th 200m 1st point_3833516858T20050430_Hang Seng North Point Building,3833516858T20050430,Hang Seng North Point Building,恒生北角大廈,4.8,LiDAR,81.099998,3D Project,76.299998,x
27th 200m 2nd point_3832616811T20050430_Mido Apartments,3832616811T20050430,Mido Apartments,美都大廈,5.4,LiDAR,55.0,Photogrammetry,49.6,x
27th 200m 3rd point_3833716823T20050430_Tsing Wan Building,3833716823T20050430,Tsing Wan Building,青雲大廈,12.1,Photogrammetry,70.900002,3D Project,58.800002,x
28th 200m 1st point_3850516905P20060312_,3850516905P20060312,,,4.3,LiDAR,11.1,Photogrammetry,6.8,x
28th 200m 2nd point_3851316842P20060312_,3851316842P20060312,,,4.4,LiDAR,12.2,Photogrammetry,7.799999999999999,x
28th 200m 3rd point _3854016848P20060312_,3854016848P20060312,,,4.4,LiDAR,14.4,Trigonometrical Height or GPS,10.0,x
29th 200m 1st point_3874716949T20050430_Wah Hing Building,3874716949T20050430,Wah Hing Building,華興大廈,4.5,LiDAR,73.599998,3D Project,69.099998,x
29th 200m 2nd point _3872816945T20050430_Han Palace Building,3872816945T20050430,Han Palace Building,漢宮大廈,4.5,LiDAR,66.199997,Photogrammetry,61.699996999999996,x
29th 200m 3rd point _3870916941T20050430_Chu Kee Building,3870916941T20050430,Chu Kee Building,珠璣大廈,4.3,LiDAR,66.199997,Photogrammetry,61.899997,x
29th 200m 4th point _3872116898T20050430_Roca Centre Block 2,3872116898T20050430,Roca Centre Block 2,樂嘉中心第二座,19.5,Photogrammetry,82.5,3D Project,63.0,x
30th 200m 1st point _3892317030T20050430_Chan's Creative School (Hong Kong Island),3892317030T20050430,Chan's Creative School (Hong Kong Island),啟基學校（港島）,4.4,LiDAR,23.5,3D Project,19.1,x
30th 200m 2nd point_3891016985T20050430_Marble Road Telephone Exchange,3891016985T20050430,Marble Road Telephone Exchange,馬寶道電話機房,4.4,LiDAR,30.799999,3D Project,26.399999,x
30th 200m 3rd point_3888416979T20050430_North Point Industrial Building,3888416979T20050430,North Point Industrial Building,北角工業大廈,4.3,LiDAR,80.5,Photogrammetry,76.2,x
30th 200m 4th point_3889416908P20060312_,3889416908P20060312,,,4.4,LiDAR,23.9,Photogrammetry,19.5,x
31st 200m 1st point _3904816959P20060312_,3904816959P20060312,,,4.4,LiDAR,19.4,Photogrammetry,14.999999999999998,x
