sample_id,x,y,routeid,distance,accessibility
84,840718.959,819518.069,4,35,0.008554982868957325
85,840714.328,819519.955,4,40,0.009094210687945461
86,840709.697,819521.84,4,45,0.009632880102553908
87,840705.066,819523.725,4,50,0.010170958675351973
88,840700.435,819525.611,4,55,0.010708413862983258
89,840695.804,819527.496,4,60,0.011245213020224883
90,840691.173,819529.382,4,65,0.011781323402717482
91,840686.543,819531.267,4,70,0.012332488936346463
92,840681.912,819533.152,4,75,0.012887494731543662
93,840677.281,819535.038,4,80,0.013441710904205973
94,840672.65,819536.923,4,85,0.01399510319007058
95,840668.019,819538.809,4,90,0.014547637234294733
96,840663.388,819540.694,4,95,0.015099278588621336
97,840658.698,819542.403,4,100,0.015649992420567832
98,840653.869,819543.699,4,105,0.016199743731350438
99,840650.653,819544.562,5,0,0.016565232694405296
100,840645.998,819546.386,5,5,0.017113305612460692
101,840641.342,819548.209,5,10,0.017660324094715265
102,840636.687,819550.033,5,15,0.018221111253282175
103,840632.031,819551.857,5,20,0.018786449344465907
104,840627.376,819553.681,5,25,0.019350626212876802
105,840622.72,819555.504,5,30,0.019913605657044173
106,840618.065,819557.328,5,35,0.02047535140593628
107,840613.409,819559.152,5,40,0.021035827134797937
108,840608.754,819560.976,5,45,0.02159499647968774
109,840604.098,819562.799,5,50,0.022152823017866745
110,840599.443,819564.623,5,55,0.022709270289980408
111,840594.787,819566.447,5,60,0.023264301793153325
112,840590.132,819568.271,5,65,0.023817880990304206
113,840585.476,819570.095,5,70,0.024393952538981883
114,840580.821,819571.918,5,75,0.02497254916706323
115,841308.514,819271.53,6,0,0.018012930357023987
116,841304.168,819274.003,6,5,0.01835537591299167
117,841299.822,819276.476,6,10,0.01869657279903149
118,841295.465,819278.927,6,15,0.019036499749818706
119,841290.993,819281.162,6,20,0.019375135252807943
120,841286.52,819283.398,6,25,0.019712458439016416
121,841282.048,819285.634,6,30,0.020048448131990564
122,841277.576,819287.87,6,35,0.020383083163871864
123,841273.104,819290.106,6,40,0.02072115611674117
124,841268.631,819292.342,6,45,0.02105902402225255
125,841264.159,819294.578,6,50,0.02139547331665532
126,841259.687,819296.814,6,55,0.02173048260607619
127,841255.19,819298.997,6,60,0.02206403044630447
128,841250.651,819301.095,6,65,0.02239609544747073
129,841246.112,819303.193,6,70,0.022726656434316327
130,841241.574,819305.291,6,75,0.018238970010394304
131,841237.035,819307.388,6,80,0.018566693000928752
