originid,destinationid,distance,duration
7,66,1016,739
7,67,1602,1332
7,68,492,384
7,69,284,215
7,70,1233,1003
7,71,1526,1212
7,72,1618,1398
7,73,871,707
7,74,953,776
7,75,1526,1212
7,76,749,624
7,77,803,649
7,78,517,382
7,79,1727,1530
7,80,1526,1212
7,81,1784,1509
7,82,641,490
7,83,1602,1332
7,84,871,707
7,86,1953,1500
8,1,1742,1321
8,2,1832,1399
8,3,439,366
8,4,1892,1400
8,5,2241,1801
8,6,349,318
8,7,1440,1115
8,9,630,575
8,10,710,601
8,11,730,548
8,12,1757,1405
8,13,606,476
8,14,0,0
8,15,446,317
8,16,710,601
8,17,1089,962
8,18,1757,1405
8,19,3081,2390
8,20,771,579
8,21,3085,2316
8,22,710,601
8,23,1967,1472
8,24,2442,1810
8,25,111,78
8,26,843,630
8,27,1744,1324
8,28,812,609
8,29,649,585
8,30,710,601
8,31,189,142
8,32,710,601
8,33,1354,1055
8,34,633,577
8,35,1299,967
8,36,1171,985
8,37,1474,1141
8,38,1323,986
8,39,649,585
8,40,612,468
8,41,1474,1141
8,42,933,757
8,43,1454,1190
8,44,117,84
8,45,710,601
8,46,1757,1405
8,47,1600,1308
8,48,710,601
8,49,1757,1405
8,51,1899,1517
8,52,1727,1313
8,53,1757,1405
8,54,259,175
8,55,1848,1476
8,56,529,467
8,57,649,585
8,58,258,238
8,59,628,479
8,60,1342,1111
8,61,178,129
8,62,117,84
8,63,188,155
8,64,843,630
8,65,1410,1057
8,66,1848,1476
8,67,1674,1325
8,68,1299,967
8,69,1175,987
8,70,471,342
8,71,1757,1405
8,72,688,561
8,73,771,579
8,74,646,508
8,75,1757,1405
8,76,710,601
8,77,801,599
8,78,1428,1171
8,79,721,648
8,80,1757,1405
8,81,1492,1206
8,82,1399,1039
8,83,1674,1325
8,84,771,579
8,86,2196,1630
9,1,1480,1054
9,2,2436,1811
9,3,842,616
9,4,2496,1811
9,5,2708,2104
9,6,485,341
9,7,1786,1371
9,8,630,429
9,10,1037,772
9,11,1334,959
9,12,2224,1708
9,13,1008,728
9,14,630,429
9,15,1050,728
9,16,1037,772
9,17,1692,1373
9,18,2224,1708
9,19,2819,2119
9,20,1375,990
9,21,2823,2045
9,22,1037,772
9,23,2570,1883
9,24,2180,1539
9,25,705,480
9,26,1447,1041
9,27,2111,1612
9,28,1416,1020
9,29,49,31
9,30,1037,772
9,31,513,374
9,32,1037,772
9,33,1958,1466
9,34,3,2
9,35,1903,1378
9,36,1498,1160
9,37,2078,1552
9,38,1927,1397
9,39,49,31
9,40,756,542
9,41,2078,1552
9,42,1336,1009
9,43,1780,1365
9,44,698,475
9,45,1037,772
9,46,2224,1708
9,47,1110,826
9,48,1037,772
9,49,2224,1708
9,51,2225,1692
9,52,2154,1643
9,53,2224,1708
9,54,799,580
9,55,2361,1722
9,56,173,144
9,57,49,31
9,58,408,278
9,59,772,553
9,60,1669,1286
9,61,544,395
9,62,698,475
9,63,567,388
9,64,1447,1041
9,65,1554,1131
9,66,2361,1722
9,67,1184,848
9,68,1903,1378
9,69,1502,1162
9,70,1075,753
9,71,2224,1708
9,72,1090,814
9,73,1375,990
9,74,1072,819
9,75,2224,1708
9,76,1037,772
9,77,1405,1010
9,78,1754,1346
9,79,91,73
9,80,2224,1708
9,81,1003,724
9,82,2003,1450
9,83,1184,848
9,84,1375,990
9,86,1934,1358
10,1,1043,820
10,2,1908,1535
10,3,1108,941
10,4,1547,1216
10,5,2355,1951
10,6,1033,905
10,7,749,600
10,8,710,606
10,9,1037,947
10,11,968,799
10,12,2147,1732
10,13,1217,1006
10,14,710,606
10,15,734,616
10,16,0,0
10,17,1326,1212
10,18,2147,1732
10,19,2382,1888
10,20,1009,829
10,21,2386,1815
10,22,0,0
10,23,2042,1608
10,24,1743,1308
10,25,676,572
10,26,669,579
10,27,1074,840
10,28,1050,860
10,29,985,907
10,30,0,0
10,31,622,533
10,32,0,0
10,33,1065,824
10,34,1037,949
10,35,1210,977
10,36,461,388
10,37,1185,910
10,38,1301,1045
10,39,985,907
10,40,354,303
10,41,1185,910
10,42,1545,1288
10,43,743,594
10,44,683,577
10,45,0,0
10,46,2147,1732
10,47,1419,1211
10,48,0,0
10,49,2147,1732
10,51,1189,921
