,frame,length,turning_smoothed,turning
1812,1812,,0.4913814121236871,0.4889340469997334
1813,1813,,0.47711535338287303,0.4711381056106704
1814,1814,,0.4595344753974654,0.4535976961077717
1815,1815,,0.43763724048265285,0.4360537653809689
1816,1816,,0.41169491616287035,0.4186250508561172
1817,1817,,0.38079442353284026,0.3838176232885688
1818,1818,,0.345714045328382,0.3490603135714956
1819,1819,,0.3072369468311337,0.3136206522166982
1820,1820,,0.26697996000837915,0.2610517289446893
1821,1821,,0.2240466348740639,0.2249115491353351
1822,1822,,0.1780112238741206,0.1738011190891863
1823,1823,,0.13059054446333965,0.1243549945467614
1824,1824,,0.08102997560266538,0.0867383386759851
1825,1825,,0.030415925985606166,0.0355581286114578
1826,1826,,-0.020114660552260015,-0.0148687926431068
1827,1827,,-0.0708765605128304,-0.0691204808471822
1828,1828,,-0.12082487871829226,-0.1366010039750918
1829,1829,,-0.16865484780717954,-0.1752332612272801
1830,1830,,-0.21515630646106243,-0.209184938592957
1831,1831,,-0.2590514087116057,-0.2449786631268641
1832,1832,,-0.30081005329173466,-0.2973074739884775
1833,1833,,-0.33950629164976204,-0.3488756827419042
1834,1834,,-0.3742447894947589,-0.384097831928905
1835,1835,,-0.406318159114686,-0.402178305315182
1836,1836,,-0.4326614034455933,-0.4358396152983446
1837,1837,,-0.455146372673276,-0.4535128208745687
1838,1838,,-0.47419004105611073,-0.471567553595268
1839,1839,,-0.48905796518848066,-0.4884615427622522
1840,1840,,-0.49989200039989595,-0.506050600584289
1841,1841,,-0.5062970312988236,-0.5062774252307306
1842,1842,,-0.5087313952534609,-0.5056050765898314
1843,1843,,-0.507035596242274,-0.5056050765898314
1844,1844,,-0.4996835955122098,-0.4883816439143639
1845,1845,,-0.48771184532088135,-0.4885466767788278
1846,1846,,-0.47261102684751605,-0.4711218993969148
1847,1847,,-0.4533893479020679,-0.4537903160112809
1848,1848,,-0.42949054559613054,-0.4365420171998688
1849,1849,,-0.40106977460898646,-0.4011627793310818
1850,1850,,-0.36822406802915464,-0.3840817194134205
