BUILDINGID,BASELEVEL,ROOFLEVEL,gfa,height,x,y
"1108224442",7.199999809265138,21.100000381469727,2454.062,13.900,837906.624,821762.331
"1108224473",10.600000381469727,47.000000000000000,9738.038,36.400,837799.277,821752.638
"1108224513",17.100000381469727,68.199996948242188,9009.729,51.100,838202.351,821741.279
"1108224677",17.100000381469727,68.900001525878906,9006.276,51.800,838240.933,821714.561
"1108224858",9.100000381469727,82.599998474121094,19339.878,73.500,837970.102,821680.041
"1108224773",10.600000381469727,47.000000000000000,10271.940,36.400,837830.144,821696.094
"1108224783",10.300000190734863,47.000000000000000,15425.675,36.700,837896.201,821662.393
"1108224908",6.699999809265138,34.099998474121094,14526.085,27.400,838083.336,821647.687
"1108225033",20.700000762939453,88.900001525878906,10473.283,68.200,838201.288,821637.946
"1108224999",20.700000762939453,91.699996948242188,10417.311,71.000,838230.858,821647.378
"1108225089",10.600000381469727,46.900001525878906,10676.756,36.300,837806.213,821630.973
"1108225086",9.100000381469727,77.900001525878906,26905.563,68.800,837977.078,821623.559
"1108225286",6.500000000000000,32.400001525878906,6874.598,25.900,838125.268,821561.951
"1108225527",6.500000000000000,32.400001525878906,8773.140,25.900,838166.764,821513.694
"1108224587",20.899999618530273,133.800003051757812,35629.307,112.900,838599.162,821722.920
"1108223924",98.900001525878906,206.300003051757812,41024.942,107.400,840514.446,821849.381
"1108224188",98.900001525878906,206.699996948242188,41024.952,107.800,840536.605,821796.274
"1108225072",10.600000381469727,13.899999618530273,158.093,3.300,837820.037,821643.539
"1810035263",85.500000000000000,91.300003051757812,196.249,5.800,839272.469,822888.265
"1108221183",22.000000000000000,27.000000000000000,796.309,5.000,838048.165,822655.305
"1108220819",50.099998474121094,146.899993896484375,20240.559,96.800,838851.380,822814.971
"1108220977",54.000000000000000,78.199996948242188,7657.915,24.200,837333.044,822759.170
"1108220939",54.000000000000000,114.199996948242188,12832.414,60.200,837275.542,822768.828
"1108221045",48.500000000000000,149.000000000000000,25281.820,100.500,837364.895,822712.694
"1108221032",54.500000000000000,155.300003051757812,24569.698,100.800,837198.851,822718.143
"1108221102",52.500000000000000,154.800003051757812,25234.630,102.300,837254.060,822691.331
"1108221131",54.500000000000000,157.100006103515625,26059.212,102.600,837155.614,822678.243
"1108221139",47.500000000000000,148.500000000000000,25658.745,101.000,837409.794,822675.350
"1108221114",49.700000762939453,55.000000000000000,79.263,5.300,837295.190,822702.172
"1108221704",35.500000000000000,42.000000000000000,971.175,6.500,839253.474,822444.975
"1108221427",30.200000762939453,61.200000762939453,15403.969,31.000,837484.069,822537.281
"1108221438",30.799999237060547,36.400001525878906,82.761,5.600,837435.862,822561.169
"1108221542",39.099998474121094,57.299999237060547,11675.021,18.200,837121.776,822499.109
"1108221490",30.500000000000000,48.200000762939453,6661.436,17.700,837417.277,822525.173
"1108221804",21.799999237060547,34.500000000000000,2771.841,12.700,839229.999,822412.410
"1108221606",39.099998474121094,57.900001525878906,1520.122,18.800,837155.271,822479.458
"1108221572",49.400001525878906,151.399993896484375,22146.923,102.000,837071.593,822489.493
"1108221699",47.099998474121094,115.099998474121094,14216.320,68.000,837032.864,822443.717
