sample_id,x,y,routeid,distance,accessibility
67,841096.345,818694.389,3,10,0.006024375841773973
68,841099.555,818690.555,3,15,0.00603752140810858
69,841102.765,818686.722,3,20,0.006050592955062238
70,841105.975,818682.888,3,25,0.006063590308583563
71,841109.185,818679.055,3,30,0.006076513295487237
72,841112.379,818675.208,3,35,0.006089361744977418
73,841115.574,818671.362,3,40,0.006102135484501943
74,841118.977,818667.699,3,45,0.00611483432666401
75,841122.38,818664.036,3,50,0.006127458119454941
76,841125.673,818660.276,3,55,0.006140006703239511
77,840752.49,819508.34,4,0,0.0024430635763501743
78,840747.628,819509.506,4,5,0.0024653983827294126
79,840742.766,819510.673,4,10,0.002487803256380444
80,840737.904,819511.84,4,15,0.002510190247795689
81,840733.042,819513.006,4,20,0.0025325612055089723
82,840728.221,819514.298,4,25,0.002554968245927662
83,840723.59,819516.184,4,30,0.0025773463899272024
84,840718.959,819518.069,4,35,0.0025996953368213438
85,840714.328,819519.955,4,40,0.0026220148257176763
86,840709.697,819521.84,4,45,0.0026443182534363076
87,840705.066,819523.725,4,50,0.0026665925492744334
88,840700.435,819525.611,4,55,0.002688836603825594
89,840695.804,819527.496,4,60,0.0027112164516930027
90,840691.173,819529.382,4,65,0.0027336067635254156
91,840686.543,819531.267,4,70,0.0027560134406694535
92,840681.912,819533.152,4,75,0.002778538299958349
93,840677.281,819535.038,4,80,0.002801031602971737
94,840672.65,819536.923,4,85,0.0028234930850854997
95,840668.019,819538.809,4,90,0.0028459224808062055
96,840663.388,819540.694,4,95,0.0028683195254717675
97,840658.698,819542.403,4,100,0.00289068394212108
98,840653.869,819543.699,4,105,0.002913015449548402
99,840650.653,819544.562,5,0,0.0029278660127094896
100,840645.998,819546.386,5,5,0.0029501421946087833
101,840641.342,819548.209,5,10,0.0029724518711283674
102,840636.687,819550.033,5,15,0.0029947841701936447
103,840632.031,819551.857,5,20,0.003017082351876173
104,840627.376,819553.681,5,25,0.0030393461507418895
105,840622.72,819555.504,5,30,0.003061575300620394
106,840618.065,819557.328,5,35,0.0030837695362245393
107,840613.409,819559.152,5,40,0.0031059285923999975
108,840608.754,819560.976,5,45,0.0031280522032236385
109,840604.098,819562.799,5,50,0.003150140103974472
110,840599.443,819564.623,5,55,0.0031721920289312735
111,840594.787,819566.447,5,60,0.0031942077133019207
112,840590.132,819568.271,5,65,0.0032161868924051266
113,840585.476,819570.095,5,70,0.003238129300879941
114,840580.821,819571.918,5,75,0.003260034674531886
115,841308.514,819271.53,6,0,0.0014377263001491873
116,841304.168,819274.003,6,5,0.001444749297810254
117,841299.822,819276.476,6,10,0.0014517553266564817
118,841295.465,819278.927,6,15,0.0014587442993101865
119,841290.993,819281.162,6,20,0.0014657161231632508
120,841286.52,819283.398,6,25,0.0014726707186429806
121,841282.048,819285.634,6,30,0.001481669215016766
122,841277.576,819287.87,6,35,0.0015039276755599942
123,841273.104,819290.106,6,40,0.001526270525304252
124,841268.631,819292.342,6,45,0.0015486351309340518
125,841264.159,819294.578,6,50,0.0015710124057759208
126,841259.687,819296.814,6,55,0.0015933713034649306
127,841255.19,819298.997,6,60,0.0016157557725768404
128,841250.651,819301.095,6,65,0.0016382582254919325
129,841246.112,819303.193,6,70,0.0016607906239450361
130,841241.574,819305.291,6,75,0.0015793464539234979
131,841237.035,819307.388,6,80,0.0016019783025759033
132,841232.496,819309.486,6,85,0.0016245916249695903
133,841227.958,819311.584,6,90,0.0016471861757639881
134,841223.419,819313.681,6,95,0.0016697617096035004
135,841218.88,819315.779,6,100,0.0016923179817759954
136,841217.787,819316.284,7,0,0.0016977465291190695
137,841213.215,819318.307,7,5,0.0017202785530138211
138,841208.642,819320.33,7,10,0.001742790764556266
139,841204.069,819322.352,7,15,0.0017652829176204566
140,841199.497,819324.375,7,20,0.0017877547667369046
141,841194.924,819326.398,7,25,0.0018102060653222359
142,841190.352,819328.42,7,30,0.001832636567103138
143,841188.33,819329.285,8,0,0.0018424962373811598
144,841183.727,819331.238,8,5,0.0017973150019107123
145,841179.124,819333.191,8,10,0.0018196941134538576
146,841174.521,819335.145,8,15,0.001842052427935331
147,841169.919,819337.098,8,20,0.0018643896977331355
148,841165.316,819339.051,8,25,0.001853595746477333
149,841160.827,819341.156,8,30,0.0018758906471486646
150,841157.642,819345.011,8,35,0.001898164397644935
151,840985.076,818841.992,9,0,0.00606935940523841
152,840986.694,818837.261,9,5,0.005561514920745976
153,840988.312,818832.53,9,10,0.005575831677413576
154,840989.931,818827.799,9,15,0.005590080632818011
155,840991.549,818823.068,9,20,0.0056042615961173214
156,840993.33,818818.403,9,25,0.0056183743684474555
157,840995.434,818813.867,9,30,0.005632418752273594
158,840997.79,818809.486,9,35,0.005646394557730316
159,841000.888,818805.562,9,40,0.005660301562745722
160,841004.122,818801.749,9,45,0.005674139621316978
161,841007.358,818797.937,9,50,0.005687908559110182
162,841010.594,818794.126,9,55,0.005701608190617383
163,841013.83,818790.314,9,60,0.0057152383314681525
164,841017.066,818786.502,9,65,0.005728798798102976
165,841020.302,818782.69,9,70,0.0057422894074531695
166,841023.538,818778.879,9,75,0.00575570997768578
167,841026.774,818775.067,9,80,0.005750407454891905
168,840695.537,819467.583,10,0,0.004273300769522624
169,840693.02,819471.903,10,5,0.0024775293702920657
170,840690.475,819476.2,10,10,0.002499922115458031
171,840686.712,819479.493,10,15,0.002522300190615472
172,840682.527,819482.204,10,20,0.002544694173676829
173,840678.871,819485.351,10,25,0.002567085778656086
174,840677.261,819490.033,10,30,0.0025894485507782484
175,840678.195,819494.931,10,35,0.0026117820281666387
176,840679.499,819499.758,10,40,0.0026340928952880657
177,840680.804,819504.585,10,45,0.0026563814017695974
178,840682.07,819509.421,10,50,0.002678639787433624
179,840683.255,819514.279,10,55,0.002700938928270214
180,840684.439,819519.136,10,60,0.00272334381798069
181,840684.928,819524.067,10,65,0.0027457178150159588
182,840681.961,819527.988,10,70,0.002768214446577855
183,840677.479,819530.202,10,75,0.0027907222808874295
184,840672.926,819532.264,10,80,0.0028131984014030348
185,840668.346,819534.271,10,85,0.0028356425518768547
186,840663.766,819536.277,10,90,0.0028580544730285157
187,840659.186,819538.284,10,95,0.0028804338994272314
188,840655.101,819541.124,10,100,0.0029027806585302115
189,840651.145,819544.182,10,105,0.002925094417325799
190,840317.403,819554.947,11,0,0.0033145311094098405
191,840320.979,819551.452,11,5,0.0031127418809120864
192,840324.554,819547.957,11,10,0.0031349377659062386
193,840328.13,819544.462,11,15,0.003157098023144503
194,840331.706,819540.968,11,20,0.0031792223864601094
