ROOFLEVEL,SAMPLE_1,y
,492.000000000000000,815002.574
,492.000000000000000,815003.222
,487.000000000000000,815003.870
,487.000000000000000,815004.517
,487.000000000000000,815005.165
,487.000000000000000,815005.812
,487.000000000000000,815006.460
,487.000000000000000,815007.108
,482.000000000000000,815007.755
,482.000000000000000,815008.403
,482.000000000000000,815009.051
,482.000000000000000,815009.698
,482.000000000000000,815010.346
,482.000000000000000,815010.993
,482.000000000000000,815011.641
,481.000000000000000,815012.289
,481.000000000000000,815012.936
,481.000000000000000,815013.584
,481.000000000000000,815014.231
,481.000000000000000,815014.879
,481.000000000000000,815015.527
,481.000000000000000,815016.174
,482.000000000000000,815016.822
,482.000000000000000,815017.470
,483.000000000000000,815018.117
,483.000000000000000,815018.765
,483.000000000000000,815019.412
,483.000000000000000,815020.060
,483.000000000000000,815020.708
,485.000000000000000,815021.355
,485.000000000000000,815022.003
,492.000000000000000,815022.650
,492.000000000000000,815023.298
,492.000000000000000,815023.946
,492.000000000000000,815024.593
,493.000000000000000,815025.241
,493.000000000000000,815025.889
,493.000000000000000,815026.536
,493.000000000000000,815027.184
,496.000000000000000,815027.831
,496.000000000000000,815028.479
,496.000000000000000,815029.127
,493.000000000000000,815029.774
,493.000000000000000,815030.422
,493.000000000000000,815031.070
,493.000000000000000,815031.717
,493.000000000000000,815032.365
,493.000000000000000,815033.012
,491.000000000000000,815033.660
,491.000000000000000,815034.308
,491.000000000000000,815034.955
,491.000000000000000,815035.603
,491.000000000000000,815036.250
,491.000000000000000,815036.898
,491.000000000000000,815037.546
,495.000000000000000,815038.193
,495.000000000000000,815038.841
,495.000000000000000,815039.489
,495.000000000000000,815040.136
,495.000000000000000,815040.784
,495.000000000000000,815041.431
,498.000000000000000,815042.079
,499.000000000000000,815042.727
,499.000000000000000,815043.374
,499.000000000000000,815044.022
,499.000000000000000,815044.669
,499.000000000000000,815045.317
,499.000000000000000,815045.965
,499.000000000000000,815046.612
,499.000000000000000,815047.260
,498.000000000000000,815047.908
,498.000000000000000,815048.555
,498.000000000000000,815049.203
,498.000000000000000,815049.850
,498.000000000000000,815050.498
,498.000000000000000,815051.146
,498.000000000000000,815051.793
,498.000000000000000,815052.441
,497.000000000000000,815053.089
,497.000000000000000,815053.736
,497.000000000000000,815054.384
,495.000000000000000,815055.031
,495.000000000000000,815055.679
,495.000000000000000,815056.327
,495.000000000000000,815056.974
,494.000000000000000,815057.622
,494.000000000000000,815058.269
,494.000000000000000,815058.917
,494.000000000000000,815059.565
,494.000000000000000,815060.212
,494.000000000000000,815060.860
,494.000000000000000,815061.508
,494.000000000000000,815062.155
,496.000000000000000,815062.803
,496.000000000000000,815063.450
,496.000000000000000,815064.098
,496.000000000000000,815064.746
,496.000000000000000,815065.393
,496.000000000000000,815066.041
,496.000000000000000,815066.688
,496.000000000000000,815067.336
,496.000000000000000,815067.984
,496.000000000000000,815068.631
,496.000000000000000,815069.279
,496.000000000000000,815069.927
,496.000000000000000,815070.574
,496.000000000000000,815071.222
,495.000000000000000,815071.869
,497.000000000000000,815072.517
,497.000000000000000,815073.165
,497.000000000000000,815073.812
,497.000000000000000,815074.460
,497.000000000000000,815075.108
,497.000000000000000,815075.755
,496.000000000000000,815076.403
,496.000000000000000,815077.050
,499.000000000000000,815077.698
,499.000000000000000,815078.346
,499.000000000000000,815078.993
,499.000000000000000,815079.641
,498.000000000000000,815080.288
,498.000000000000000,815080.936
,498.000000000000000,815081.584
,498.000000000000000,815082.231
,500.000000000000000,815082.879
,500.000000000000000,815083.527
,500.000000000000000,815084.174
,499.000000000000000,815084.822
,499.000000000000000,815085.469
,499.000000000000000,815086.117
,499.000000000000000,815086.765
,499.000000000000000,815087.412
,501.000000000000000,815088.060
,501.000000000000000,815088.707
,498.000000000000000,815089.355
,498.000000000000000,815090.003
,498.000000000000000,815090.650
,498.000000000000000,815091.298
,498.000000000000000,815091.946
,499.000000000000000,815092.593
,495.000000000000000,815093.241
,495.000000000000000,815093.888
,495.000000000000000,815094.536
,495.000000000000000,815095.184
,495.000000000000000,815095.831
,495.000000000000000,815096.479
,495.000000000000000,815097.127
,492.000000000000000,815097.774
,492.000000000000000,815098.422
,492.000000000000000,815099.069
,492.000000000000000,815099.717
,492.000000000000000,815100.365
,492.000000000000000,815101.012
,489.000000000000000,815101.660
,489.000000000000000,815102.307
,490.000000000000000,815102.955
,490.000000000000000,815103.603
,490.000000000000000,815104.250
,490.000000000000000,815104.898
,490.000000000000000,815105.546
,486.000000000000000,815106.193
,486.000000000000000,815106.841
,486.000000000000000,815107.488
,488.000000000000000,815108.136
,488.000000000000000,815108.784
,488.000000000000000,815109.431
,484.000000000000000,815110.079
,484.000000000000000,815110.726
,484.000000000000000,815111.374
,484.000000000000000,815112.022
,484.000000000000000,815112.669
