Code,#,Quadrant,distance,Building CSUID,Building ID,English Building Name,Chinese Building Name,Centroid Longitude,Centroid Latitude,Floor Height,Floor Height Source,Roof Height,Roof Height Source,Building Height,Pre-fieldwork Notes,NOBUILDING,ISERROR,NONAME,ISOUTLIER,Number of storeys,Number of basements,Number of units,Year of Completion,Source,Address
E10SW,10,SW,2200,3584215428T20050430,1103128579,China Overseas Building,中國海外大廈,114.1727793,22.27779288,18.2,p,112.5,3,94.3,,FALSE,FALSE,FALSE,FALSE,30,0,60,1991,BMIS_auto,139 HENNESSY ROAD
E10NW,10,NW,2200,3588115444T20050430,1103128578,On Hong Commercial Building,安康商業大廈,114.1730654,22.2778383,18.3,p,80.1,3,61.8,,FALSE,FALSE,FALSE,FALSE,24,0,56,1987,BMIS_auto,145 HENNESSY ROAD
E11NE,11,NE,2400,3606915418T20050430,1103128735,Jade House,玉滿樓,114.1749674,22.27757658,3.5,l,55,p,51.5,,FALSE,FALSE,FALSE,FALSE,16,0,80,1968,BMIS_auto,11 FLEMING ROAD
E11SE,11,SE,2400,3603015391T20050430,1103128834,Hang Seng Wanchai Building,恒生灣仔大廈,114.1745561,22.27738587,18.6,e,123.2,3,104.6,,FALSE,FALSE,FALSE,FALSE,30,0,0,1972,BMIS_auto,8 FLEMING ROAD
E11SW,11,SW,2400,3602415449T20050430,1103128465,Tung Wah Mansion,東華大廈,114.1745385,22.27797132,3.5,l,68.2,3,64.7,,FALSE,FALSE,FALSE,FALSE,21,0,105,1967,BMIS_auto,199-203 HENNESSY ROAD
E11NW,11,NW,2400,3606415453T20050430,1103128444,Kwong Tak Mansion,廣德大廈,114.1748907,22.27800451,3.7,l,47,p,43.3,,FALSE,FALSE,FALSE,FALSE,14,0,37,1967,BMIS_auto,205-207 HENNESSY ROAD
E12NE,12,NE,2600,3626515418T20050430,1103128615,Emperor Group Centre,英皇集團中心,114.1768876,22.27763002,17,p,105.7,3,88.7,,FALSE,FALSE,FALSE,FALSE,30,0,40,1994,BMIS_auto,288 HENNESSY ROAD
E12SE,12,SE,2600,3620715435T20050430,1103128646,Caltex House,德士古大廈,114.1762751,22.2777396,19,p,72.5,3,53.5,,FALSE,FALSE,FALSE,FALSE,21,0,21,1975,BMIS,258 HENNESSY ROAD
E12SW,12,SW,2600,3621815471T20050430,1103128311,Easey Commercial Building,依時商業大廈,114.1764179,22.27816757,3.5,l,54.3,p,50.8,,FALSE,FALSE,FALSE,FALSE,22,0,104,1977,BMIS_auto,253 HENNESSY ROAD
E12NW,12,NW,2600,3627815479T20050430,1103128259,Kwong Wah Mansion,光華大廈,114.176977,22.2782281,3.6,l,58.7,p,55.1,,FALSE,FALSE,FALSE,FALSE,17,0,72,1964,BMIS_auto,269 HENNESSY ROAD
E13NE,13,NE,2800,3647915504T20050430,1103128154,Kuo Wah Building,國華大樓,114.1789903,22.27833304,3.8,l,57,p,53.2,,FALSE,FALSE,FALSE,FALSE,16,0,16,1962,BMIS_auto,340 HENNESSY ROAD
E13SE,13,SE,2800,3641615485T20050430,1103128290,W Square,,114.1783751,22.27815417,19.8,p,94.2,3,74.4,,FALSE,FALSE,FALSE,FALSE,23,0,23,1978,BMIS_auto,314-324 HENNESSY ROAD
E13SW,13,SW,2800,3642315523T20050430,1109346356,Yick Wah Building,益華大廈,114.1783821,22.27862226,3.8,l,42.8,t,39,,FALSE,FALSE,FALSE,FALSE,12,0,39,1965,BMIS_auto,319 HENNESSY ROAD
E13NW,13,NW,2800,3646715537T20050430,1109346361,Luen Wo Building,聯和大廈,114.1787936,22.27874315,3.8,l,44.2,p,40.4,,FALSE,FALSE,FALSE,FALSE,12,0,22,1967,BMIS_auto,337 HENNESSY ROAD
E14NE,14,NE,3000,3668115577T20050430,1103127632,Yau Kwong Building,友光大廈,114.1809041,22.27902029,3.8,l,57.8,p,54,,FALSE,FALSE,FALSE,FALSE,16,0,105,1970,BMIS_auto,9 CANAL ROAD WEST
E14SE,14,SE,3000,3662515555T20050430,1103127766,Opulent Building,德興大廈,114.1804109,22.27884395,16.4,p,78.3,p,61.9,,FALSE,FALSE,FALSE,FALSE,23,0,180,1977,BMIS_auto,402-406 HENNESSY ROAD
E14SW,14,SW,3000,3659915582T20050430,1103127526,Henning House,軒寧大廈,114.1800882,22.27918106,3.4,l,62.1,p,58.7,,FALSE,FALSE,FALSE,FALSE,19,0,65,1971,BMIS_auto,385-389 HENNESSY ROAD
E14NW,14,NW,3000,3665215605T20050430,1103127403,BOC Wan Chai Commercial Centre,中銀灣仔商業中心,114.180616,22.27937844,3.4,l,80.2,p,76.8,,FALSE,FALSE,FALSE,FALSE,23,0,56,1983,BMIS_auto,409-415 HENNESSY ROAD
E15NE,15,NE,3200,3685815649T20050430,1103127238,Thai Kong Building,泰港大廈,114.1826522,22.27962433,3.8,l,67.3,3,63.5,,FALSE,FALSE,FALSE,FALSE,23,0,106,1966,BMIS,482 HENNESSY ROAD
E15SE,15,SE,3200,3681015630T20050430,1103127322,Cameron Commercial Centre,金聯商業中心,114.1821622,22.27950105,3.8,l,74.4,p,70.6,,FALSE,FALSE,FALSE,FALSE,22,0,74,1976,BMIS_auto,458 HENNESSY ROAD
E15SW,15,SW,3200,3680515665T20050430,1103127103,459-465 Henessey Road,,114.1820594,22.27990823,3.5,l,53.4,p,49.9,,FALSE,FALSE,TRUE,FALSE,15,0,30,1966,BMIS_auto,459 HENNESSY ROAD
E15NW,15,NW,3200,3683815678T20050430,1103127021,East South Building,東南大廈,114.1823889,22.2800435,3.4,l,52.8,p,49.4,,FALSE,FALSE,FALSE,FALSE,15,0,96,1965,BMIS_auto,475 HENNESSY ROAD
E16NE,16,NE,3400,3702715678T20050430,1103127104,The Goldmark,黃金廣場,114.1842536,22.27992359,3.9,l,88.9,p,85,,FALSE,FALSE,FALSE,FALSE,23,0,124,1987,BMIS_auto+web,502 HENNESSY ROAD
E16SE,16,SE,3400,3698415658T20120223,1810079778,Hysan Place,希慎廣場,114.1838005,22.27980119,46.2,b,199.4,g,153.2,,FALSE,FALSE,FALSE,FALSE,40,4,0,2012,BMIS_auto+web,500 HENNESSY ROAD
E16SW,16,SW,3400,3697615717T20050430,1103126886,Macau Yat Yuen Centre,澳門逸園中心,114.1837643,22.28031167,4.1,p,88.4,p,84.3,,FALSE,FALSE,FALSE,FALSE,30,1,30,2004,BMIS_auto,525 HENNESSY ROAD
E16NW,16,NW,3400,3705015716T20050430,1103126700,East Point Centre (Old Wing),東角中心（舊翼）,114.184473,22.28041186,19,b,86.9,b,67.9,,FALSE,FALSE,FALSE,FALSE,18,0,0,1993,Google Earth,555 HENNESSY ROAD
E17NE,17,NE,3600,3722115622T20050430,1103127364,60-62 Yee Wo Street,,114.1861172,22.27945228,4.2,l,49.7,3,45.5,,FALSE,FALSE,TRUE,FALSE,12,0,42,1966,BMIS_auto,1 PENNINGTON STREET
E17SE,17,SE,3600,3719315637T20050430,1103127299,McDonald's Building,麥當勞大廈,114.1858596,22.27953591,4.2,l,82.5,3,78.3,,FALSE,FALSE,FALSE,FALSE,21,0,80,1984,BMIS_auto+web,48 YEE WO STREET
E17SW,17,SW,3600,3721615666T20050430,1103127113,V Causeway Bay,,114.186129,22.27988797,4,l,63,p,59,,FALSE,FALSE,FALSE,FALSE,19,,170,2002,BMIS,9 YEE WO STREET
E17NW,17,NW,3600,3725115668T20050430,1103127060,Causeway Bay Commercial Building,銅鑼灣商業大廈,114.1863851,22.2799502,3.9,l,75.6,3,71.7,,FALSE,FALSE,FALSE,FALSE,22,0,260,1975,BMIS_auto,1 SUGAR STREET
E18NE,18,NE,3800,3745015639T20050430,1103127265,Causeway Tower,高威樓,114.1884208,22.27957115,4.5,l,76.5,p,72,,FALSE,FALSE,FALSE,FALSE,22,0,140,1978,BMIS_auto,16 CAUSEWAY ROAD
E18SE,18,SE,3800,3742915620T20050430,1103127365,Catic Plaza,航空大廈,114.1881336,22.27943899,18.7,p,101.7,p,83,,FALSE,FALSE,FALSE,FALSE,27,0,29,1994,BMIS_auto,8 CAUSEWAY ROAD
E18SW,18,SW,3800,,,Tai Hang Rd Flyover,,,,,,,,,no building ,TRUE,TRUE,FALSE,TRUE,0,,,,,
E18NW,18,NW,3800,,,Tai Hang Rd Flyover,,,,,,,,,no building ,TRUE,TRUE,FALSE,TRUE,0,,,,,
E19NE,19,NE,4000,,,Causeway Bay Sports Ground,,,,,,,,,no building ,TRUE,TRUE,FALSE,#VALUE!,0,,,,,
E19SE,19,SE,4000,3758615670T20050430,1103126958,Hong Kong Central Library,香港中央圖書館,114.1896634,22.2799082,12.1,p,64.1,3,52,public recreational facility,FALSE,TRUE,FALSE,#VALUE!,12,,,2001,https://www.hkpl.gov.hk/en/hkcl/aboutus/index.html,66 CAUSEWAY ROAD
E19SW,19,SW,4000,,,Victoria Park,,,,,,,,,no building ,TRUE,TRUE,FALSE,#VALUE!,0,,,,,
E19NW,19,NW,4000,,,Victoria Park,,,,,,,,,no building ,TRUE,TRUE,FALSE,#VALUE!,0,,,,,
E20NE,20,NE,4200,,,Open Area,,,,,,,,,no building ,TRUE,TRUE,FALSE,#VALUE!,0,,,,,
E20SE,20,SE,4200,3775815848T20050430,1103125871,Queen's College,皇仁書院,114.1915176,22.28125726,4.4,l,11.4,p,7,school ,FALSE,TRUE,FALSE,#VALUE!,2,,,,Street View,120 CAUSEWAY ROAD
E20SW,20,SW,4200,,,Victoria Park,,,,,,,,,no building ,TRUE,TRUE,FALSE,#VALUE!,0,,,,,
E20NW,20,NW,4200,3777515948T20050430,1103125126,Park Towers Tower I,栢景臺第１座,114.1914991,22.28242876,41.4,p,155.9,p,114.5,,FALSE,FALSE,FALSE,#VALUE!,49,1,180,1989,BMIS_auto,1 KING'S ROAD
E21NE,21,NE,4400,3791516043T20050601,1103124444,L'hotel Causeway Bay Harbour View Hong Kong,銅鑼灣如心酒店,114.1928639,22.28326376,5.9,e,136.6,e,130.7,,FALSE,FALSE,FALSE,FALSE,40,,275,,https://partnernet.hktb.com/en/e_marketplace/company_directory/index.html?companyID=961&accordionDefault=venue&viewMode=Details,18 KING'S ROAD
E21SE,21,SE,4400,3791615984T20050430,1103124762,Kiu Hing Mansion,僑興大廈,114.1926816,22.28279895,13.9,p,83.6,p,69.7,,FALSE,FALSE,FALSE,FALSE,26,0,382,1966,BMIS_auto,14 KING'S ROAD
E21SW,21,SW,4400,3781115982T20050430,1103124878,Park Towers Tower II,栢景臺第２座,114.191851,22.28271654,41.9,p,123.9,3,82,,FALSE,FALSE,FALSE,FALSE,30,1,180,1989,"https://www.executivehomeshk.com/buildings/north-point/park-towers#:~:text=It%20has%20313%20apartments.,are%20upto%202463%20sf%20saleable.",1 KING'S ROAD
E21NW,21,NW,4400,3784316037T20050430,1103124522,Park View Mansion,雅景樓,114.1921628,22.28320283,13.8,p,77.5,3,63.7,,FALSE,FALSE,FALSE,FALSE,23,0,50,1974,BMIS_auto,3 LAU SIN STREET
E22NE,22,NE,4600,3795916263T20050430,1103122595,Belilios Public School,庇理羅士女子中學,114.193305,22.2853423,8.2,es,50,3,41.8,school ,FALSE,TRUE,FALSE,TRUE,6,,,,Google Earth,51 TIN HAU TEMPLE ROAD
E22SE,22,SE,4600,3794616181T20050430,1103123565,King Yu Court,景愉居,114.1931637,22.28451952,37.1,p,124.2,p,87.1,,FALSE,FALSE,FALSE,FALSE,32,0,128,2002,BMIS_auto,43-45 TIN HAU TEMPLE ROAD
E22SW,22,SW,4600,3788916197T20050430,1103123519,Wilson Court,維順閣,114.1925643,22.28465636,18.4,e,84.5,p,66.1,,FALSE,FALSE,FALSE,FALSE,24,,53,1990,BMIS,41 KING'S ROAD
E22NW,22,NW,4600,3789816228T20050430,1103123250,Sun Ying Mansion,新英大廈,114.192647,22.28496189,8.5,p,71.2,3,62.7,,FALSE,FALSE,FALSE,FALSE,21,0,45,1975,BMIS_auto,43 KING'S ROAD
E23NE,23,NE,4800,,,Comfort Terrace Rest Garden,,,,,,,,,no building ,TRUE,TRUE,FALSE,FALSE,,,,,,
E23SE,23,SE,4800,3794516399T20050430,1103121981,Comfort Gardens,,114.1931619,22.28650179,7.4,l,92.3,p,84.9,,FALSE,FALSE,FALSE,FALSE,26,0,93,1979,BMIS_auto,60 KING'S ROAD
E23SW,23,SW,4800,3789916406T20050430,1103121975,Kwai Hung Holdings Centre,桂洪集團中心,114.1927075,22.28654597,6.5,p,102.4,p,95.9,,FALSE,FALSE,FALSE,FALSE,29,0,116,1997,BMIS_auto,89 KING'S ROAD
E23NW,23,NW,4800,3789516432T20050430,1103121811,Kin Ga Building,建基大廈,114.1926494,22.28678826,6,p,75.9,p,69.9,,FALSE,FALSE,FALSE,FALSE,24,0,49,1988,BMIS_auto,99 KING'S ROAD
E24NE,24,NE,5000,3804616611T20050430,1103120818,Fortress Metro Tower Block D,康澤花園Ｄ座,114.1941391,22.28840514,6.7,es,126.8,3,120.1,,FALSE,FALSE,FALSE,FALSE,36,0,194,1987,BMIS_auto,238 KING'S ROAD
E24SE,24,SE,5000,3801716575T20050430,1103120938,Fortress Metro Tower Block A,康澤花園Ａ座,114.1938284,22.2880551,6.7,es,126.7,p,120,,FALSE,FALSE,FALSE,FALSE,36,0,193,1987,BMIS_auto,238 KING'S ROAD
E24SW,24,SW,5000,3796816610T20050430,1103120830,Ying Wong House,英皇大廈,114.1933551,22.28842144,5.2,p,45.6,p,40.4,,FALSE,FALSE,FALSE,FALSE,12,0,45,1967,BMIS_auto,153 KING'S ROAD
E24NW,24,NW,5000,3798516640T20050430,1103120777,Chung Nam Mansion,中南大廈,114.1935827,22.28869566,5.2,p,61.5,3,56.3,,FALSE,FALSE,FALSE,FALSE,19,0,91,1966,BMIS_auto,7 BOAT STREET
E25NE,25,NE,5200,3815116758T20050430,1103120497,North Point Centre Block A,北角中心大廈Ａ座,114.1951709,22.28973835,5.2,l,85.3,p,80.1,,FALSE,FALSE,FALSE,FALSE,27,0,264,1974,BMIS,286 KING'S ROAD
E25SE,25,SE,5200,3813016736T20050430,1103120557,North Point Centre Block B,北角中心大廈Ｂ座,114.19496,22.28950145,5.2,l,88.2,3,83,,FALSE,FALSE,FALSE,FALSE,27,,264,1974,BMIS,278 KING'S ROAD
E25SW,25,SW,5200,3807316759T20050430,1103120445,Olympia Plaza,國都廣場,114.1944777,22.28983136,4.5,p,120.3,p,115.8,,FALSE,FALSE,FALSE,FALSE,25,0,25,1999,BMIS_auto,255 KING'S ROAD
E25NW,25,NW,5200,3811216787T20050430,1103120388,Southern Building,南方大廈,114.194783,22.29005956,5.8,p,66.4,p,60.6,,FALSE,FALSE,FALSE,FALSE,20,0,335,1963,BMIS_auto,257 KING'S ROAD
E26NE,26,NE,5400,3832616811T20050430,1103120381,Mido Apartments,美都大廈,114.1968598,22.29020588,5.4,l,55,p,49.6,,FALSE,FALSE,FALSE,FALSE,16,0,66,1958,BMIS_auto,330-332 KING'S ROAD
E26SE,26,SE,5400,3828216811T20050430,1103120396,Hang Ying Building,恒英大廈,114.1964724,22.29012049,6.1,l,67.7,3,61.6,,FALSE,FALSE,FALSE,FALSE,19,0,160,1982,BMIS_auto,318-324 KING'S ROAD
E26SW,26,SW,5400,3828916857T20050430,1103120276,Coronet Court,皇冠大廈,114.1964841,22.29067625,4.8,l,54.1,3,49.3,,FALSE,FALSE,FALSE,FALSE,15,0,180,1958,BMIS_auto,321 KING'S ROAD
E26NW,26,NW,5400,3833516858T20050430,1103120290,Hang Seng North Point Building,恒生北角大廈,114.1969751,22.2907218,4.8,l,81.1,3,76.3,,FALSE,FALSE,FALSE,FALSE,23,0,92,1985,BMIS_auto,335-337 KING'S ROAD
E27NE,27,NE,5600,3853516846T20050430,1103120312,Everwin Building,康威大廈,114.1989373,22.29051577,14.4,p,79.7,3,65.3,,FALSE,FALSE,FALSE,FALSE,25,2,200,1985,BMIS_auto,406-408 KING'S ROAD
E27SE,27,SE,5600,3851216839T20050430,1103120334,Ming Yuen Centre,明苑中心,114.1986769,22.29044098,12.2,p,83,p,70.8,,FALSE,FALSE,FALSE,FALSE,28,0,146,1988,BMIS_auto,6 MING YUEN WESTERN STREET
E27SW,27,SW,5600,3849716904T20050430,1103120221,Henan Electric Development Building,豫港電力發展大廈,114.1985141,22.29104316,19.4,p,85.1,p,65.7,,FALSE,FALSE,FALSE,FALSE,28,0,56,1996,BMIS_auto,389 KING'S ROAD
E27NW,27,NW,5600,3858116913T20050430,1103120100,Kiu Kwan Mansion Block A,僑冠大廈Ａ座,114.199158,22.29127536,4.3,l,90,p,85.7,,FALSE,FALSE,FALSE,FALSE,28,0,395,1966,BMIS_auto,395 KING'S ROAD
E28NE,28,NE,5800,3872116898T20050430,1103120219,Roca Centre Block 2,樂嘉中心第二座,114.2007837,22.29103947,19.5,p,82.5,3,63,,FALSE,FALSE,FALSE,FALSE,24,,96,1987,BMIS,466 KING'S ROAD
E28SE,28,SE,5800,3868016869T20050430,1103120249,Maylun Apartments,美輪大廈,114.2001915,22.29081561,4.4,l,34.9,3,30.5,,FALSE,FALSE,FALSE,FALSE,17,0,264,1959,BMIS_auto,442-448 KING'S ROAD
E28SW,28,SW,5800,3869116946T20050430,1103120091,On Ning Building,安寧大廈,114.2003975,22.29141885,4.5,l,57.8,p,53.3,,FALSE,FALSE,FALSE,FALSE,17,0,99,1968,BMIS_auto,425 KING'S ROAD
E28NW,28,NW,5800,3870916941T20050430,1103120068,Chu Kee Building,珠璣大廈,114.2005865,22.29146201,4.3,l,66.2,p,61.9,,FALSE,FALSE,FALSE,FALSE,20,0,57,1974,BMIS_auto,433 KING'S ROAD
E29NE,29,NE,6000,3895816911T20050430,1103120125,Island Place Tower,港運大廈,114.2030122,22.29112688,4.7,l,108.9,p,104.2,,FALSE,FALSE,FALSE,FALSE,23,0,184,1996,BMIS,510 KING'S ROAD
E29SE,29,SE,6000,3884216927T20050430,1103120148,HKU School of Professional and Continuing Education,香港大學專業進修學院,114.2018518,22.29125428,22.4,es,96,g,73.6,school,FALSE,TRUE,FALSE,FALSE,23,,,,http://www.hongkongoffice.com/building_search/Office_Profile.asp?B=6920,494 KING'S ROAD
