buildingid,gfa,height,x,y,buildingnameid,lastupdated,buildingname
1108220357,25348.746,114.2,838892.686,823168.753,1109617777,01/07/2014,Hong Sau House
1108220365,25347.344,114.2,838987.51,823162.178,1109617813,01/07/2014,Hong Yun House
1108220579,51679.45,98.2,837794.363,822962.026,1109617118,01/07/2014,Chung Yuen House
1108220631,962.612,25.7,838415.011,822922.087,,,
1108220749,342.231,21.5,838334.701,822849.404,,,
1108220763,332.328,22.1,838371.85,822848.974,,,
1108220717,3266.984,10.3,838028.846,822856.2,1109617332,01/07/2014,Chuk Yuen Estate Community Centre
1108220671,635.295,22.5,838455.712,822901.535,1109617588,01/07/2014,
1108220752,266.616,17.3,838362.288,822849.369,,,
1108220025,49415.363,112.7,838942.396,823480.476,1109617798,01/07/2014,Ching Tai House
1108220047,20634.084,97.3,838597.233,823443.938,1109617680,01/07/2014,Oi Wai House
1108220083,20702.023,97,838579.878,823386.79,1109617674,01/07/2014,Oi Chung House
1108220141,91.09,4.7,838563.763,823332.399,,,
1108220147,116.738,3.2,838785.45,823327.032,,,
1108220082,272.929,12.2,837993.561,823399.954,,,
1108220213,174.655,5.3,839175.745,823258.024,,,
1108220360,25340.652,114.2,838940.089,823165.472,1109617797,01/07/2014,Hong Tak House
1108220625,4676.447,14.6,837981.987,822938.466,1109617316,01/07/2014,Chuk Yuen Indoor Games Hall
1108220575,52841.621,99,837676.017,822957.455,1109616980,01/07/2014,Pang Ching Court
1108220607,1496.129,22.6,838460.814,822959.857,1109617599,01/07/2014,
1108220666,107.18,3.3,836974.728,822905.305,,,
1108220577,1888.516,22,838534.011,822978.541,1109617659,01/07/2014,Lion Mansion
1108220608,596.761,23.9,838685.011,822963.915,,,
1108220632,270.013,6.5,838337.929,822942.06,,,
1108220642,1101.729,24.8,838432.793,822926.354,,,
1108220610,13530.764,21.3,838318.617,822951.289,,,
1108220605,9268.646,23,837545.683,822948.985,1109616730,01/07/2014,Tsui Chuk Plaza
1108220214,41350.992,107.6,838842.139,823242.941,1109617759,01/07/2014,On Yan House
1108220244,40832.015,107.8,839045.298,823228.77,1109617822,01/07/2014,Man Yue House
1108220227,27830.723,75.1,838780.867,823234.402,1109617740,01/07/2014,On Hong House
1108220526,1557.59,20.6,838504.639,823017.563,1109617640,01/07/2014,Tsui Ming Building
1108220611,51757.872,98.3,838729.65,822933.945,1109617727,01/07/2014,Chu Fung House
1108220624,1622.396,16.2,837315.399,822943.778,,,
1108220627,538.562,22,838459.566,822948.489,,,
1108220084,8193.708,21.6,838026.386,823377.967,1109617337,01/07/2014,Fat Chong Temple
1108220127,46604.412,107.9,839014.412,823341.354,1109617816,01/07/2014,Ching Hong House
1108220076,274.853,5.9,839101.454,823397.281,,,
1108220108,132.048,6.3,838326.318,823373.94,,,
1108220119,58671.025,107.8,839090.919,823342.192,1109617832,01/07/2014,Ching On House
1108220070,2057.121,19.5,838012.846,823408.487,,,
1108220139,6711.24,13.1,838582.769,823311.883,,,
1108220074,20702.024,96.6,838528.476,823398.305,1109617655,01/07/2014,Oi Yan House
1108220115,59698.688,113,838937.713,823346.773,1109617801,01/07/2014,Ching Ming House
1108220217,10334.574,13.7,838943.562,823236.989,,,
1108220446,9902.96,14.5,838549.052,823068.139,,,
1108220382,12430.933,20.2,838289.544,823119.858,1810021631,01/07/2014,
1108220459,6703.398,14.8,838186.295,823046.251,1109617399,01/07/2014,Ying Fuk Court Car Park
1108220462,51288.238,97.9,837963.67,823042.751,1109617301,01/07/2014,Yung Yuen House
1108220402,2792.115,24.4,838487.861,823114.88,1109617629,01/07/2014,Ho Lap Primary School
1108220237,39618.993,107.7,838991.532,823232.566,1109617814,01/07/2014,Man Tai House
1108220222,39737.711,107.5,838896.084,823239.182,1109617778,01/07/2014,Man Kin House
1108220261,42325.083,107.7,838504.387,823220.006,1109617636,01/07/2014,Lok Wong House
1108220417,3080.119,13.1,838390.452,823089.82,1109617522,01/07/2014,Wu York Yu Health Centre
1108220465,307.911,8.1,838758.54,823064.239,,,
1108220419,2280.147,24.5,838793.609,823096.898,1109617743,01/07/2014,Tak Tsz House
1108220445,3897.723,17.6,838283.552,823078.406,1109617447,01/07/2014,
1108220440,15509.443,87.7,837465.689,823083.066,1109616581,01/07/2014,Tsui Chuk Garden Block 3
1108220404,3167.294,68,838794.467,823114.934,1109617744,01/07/2014,BOC Tsz Wan Shan Building
1108220449,92.335,4.4,838319.267,823081.531,1810021630,01/07/2014,Wong Tai Sin Hosp Subsation
1108220431,503.889,22.9,838815.154,823100.969,,,
1108220384,43859.095,108.2,838551.882,823119.264,1109617665,01/07/2014,Lok Shun House
1108220383,120.159,4.5,838344.906,823138.405,,,
1108220461,51593.932,97.7,838046.684,823044.058,1109617343,01/07/2014,Cheung Yuen House
1108219888,303.955,7,838619.279,823812.514,1109617689,01/07/2014,Tsz Wan Shan Kwun Yum Temple
1108219885,1236.061,14.3,838630.437,823828.709,,,
1108220390,6050.83,24.2,838472.181,823128.03,,,
1108220397,527.045,19.7,838696.131,823122.973,,,
1108220434,148.242,5.2,838370.172,823086.568,,,
1108220450,23874.968,102.7,838154.538,823064.83,1109617382,01/07/2014,Ying Fuk Court
1108220447,481.782,22.2,838813.918,823085.058,,,
1108220385,51343.563,98.2,838110.446,823108.105,1109617369,01/07/2014,Toa Yuen House
1108220399,1229,8.4,838452.384,823107.134,1109617582,01/07/2014,Ho Lap Primary School
1108220436,826.895,21.9,838814.687,823093.033,,,
1108220544,3192.661,27.5,838591.236,823009.358,1109617677,01/07/2014,Tsz Wan Shan (South) Estate Community Centre
1108220482,8138.532,18,838287.298,823051.135,1109617452,01/07/2014,
1108220521,11278.836,32.1,839379.618,822984.804,1109617936,01/07/2014,Sze Chen Hall
1108220567,11898.809,66.4,837494.139,822988.849,1109616637,01/07/2014,Tsui Chuk Garden Block 1
1108220055,59611.132,113.2,838912.943,823419.703,1109617785,01/07/2014,Ching Yuk House
1108220015,60148.266,113.6,838876.752,823504.735,1109617775,01/07/2014,Ching Yi House
1108220067,1786.431,13.9,838855.607,823413.782,,,
1108220005,25163.083,115,838604.87,823541.039,1109617683,01/07/2014,Oi Fu House
1108220000,25157.498,115.2,838524.386,823558.485,1109617652,01/07/2014,Oi Cheung House
1108219986,25143.958,115.3,838619.401,823582.232,1109617687,01/07/2014,Oi Yue House
1108220062,48598.564,112.9,839060.55,823411.034,1109617824,01/07/2014,Ching Yuen House
1108220068,7899.912,19.5,838616.135,823387.912,,,
1108220044,20705.74,97.6,838558.228,823457.568,1109617669,01/07/2014,Oi Yin House
1108220039,20698.263,96.8,838495.419,823464.077,1109617630,01/07/2014,Oi Kan House
1108220063,20698.265,97.2,838457.043,823417.38,1109617590,01/07/2014,Oi Ning House
1108220045,520.593,7.2,838857.773,823464.217,,,
1108219994,444.595,6.6,838495.235,823573.67,,,
1108220558,1499.828,11.9,838276.66,822990.378,1109617448,01/07/2014,Evangel Children's Home
1108220522,17095.534,29.9,838365.703,823013.933,,,
1108220555,50609.309,97.9,838171.774,822971.988,1109617395,01/07/2014,Mui Yuen House
1108220559,52362.346,98.7,838088.932,822970.176,1109617361,01/07/2014,Tung Yuen House
1108220564,51832.124,97.9,837922.307,822968.358,1109617274,01/07/2014,Wai Yuen House
1108221159,48045.823,112.6,837826.151,822660.015,1109617168,01/07/2014,Kai Sin House
1108221193,24498.108,26.6,837330.821,822643.107,1109616257,01/07/2014,Tin Ma Court Commercial Centre
1108221233,2625.126,16.7,837963.316,822637.319,1810009326,01/07/2014,
1108221191,19382.045,15.6,837233.802,822649.761,1109616050,01/07/2014,Tin Ma Court Carpark
1108221208,413.543,9.4,837980.395,822655.492,1810009327,01/07/2014,
1108221234,155.361,9.2,838014.862,822646.79,1810009329,01/07/2014,
1108221285,346.904,29.4,838292.513,822625.685,,,
1108220347,12870.376,21.3,839117.901,823154.391,1109617834,01/07/2014,Tak Oi Secondary School
1108221297,62888.366,112.9,837764.898,822603.461,1109617098,01/07/2014,Cheong Sin House
1108221336,229.355,5.4,837710.759,822599.805,1109617033,01/07/2014,Upper Wong Tai Sin Estate Refuse Collection Point
1108221296,94.953,4.5,838216.327,822622.74,,,
1108221318,687.002,11.8,838032.477,822607.528,1109617338,01/07/2014,Sik Sik Yuen Clinic
1108221325,104.153,8.3,838226.661,822609.858,,,
1108221344,123.854,6,838220.408,822598.776,,,
1108221298,48243.264,113,837826.125,822602.925,1109617172,01/07/2014,Yiu Sin House
1108221329,121.104,9.2,837936.297,822608.032,,,
1108221315,432.065,8.6,837924.703,822611.504,,,
1810082903,12743.777,99.1,838306.15,822330.598,1810019793,01/07/2014,Lions Rise Tower 1
1810082904,13287.541,99.1,838330.471,822332.114,1810019794,01/07/2014,Lions Rise Tower 2
1810082910,10446.743,99,838371.527,822399.329,1810019798,01/07/2014,Lions Rise Tower 5B
1810082911,11364.726,99,838417.777,822397.555,1810019800,01/07/2014,Lions Rise Tower 6B
1810082921,10146.156,99,838323.758,822410.595,1810019795,01/07/2014,Lions Rise Tower 3A
1810082922,9684.544,99,838325.914,822396.369,1810019796,01/07/2014,Lions Rise Tower 3B
1810082923,9099.232,99,838369.824,822413.332,1810019797,01/07/2014,Lions Rise Tower 5A
