id,name,address,number,lat,lon
70,"TANG, KUEN YAN ALFRED","Hsin Kuang Shopping Centre, 120 Lung Cheung Road, Wong Tai Sin, Kowloon",,22.34203,114.19652
71,"TANG, MAN CHUN","Lok Fu Place (A), 198 Junction Road, Wang Tau Hom, Kowloon",,22.33822,114.18725
72,"TSANG, HON KEUNG ANDREW","Chuk Yuen Shopping Centre, Chuk Yuen South Estate, Wong Tai Sin, Kowloon",,22.34456,114.19064
73,"TSE, YIN CHU CATHERINE","Temple Mall North, Lung Cheung Road, Wong Tai Sin, Kowloon",,22.34196,114.19281
74,"WAN, SIU LUN","Lung Poon Court Commercial Complex, 8 Lung Poon Street, Diamond Hill, Kowloon",,22.3417,114.20026
75,"WONG, CHI HUNG","Shop 3134, Lok Fu Place, Wang Tau Hom, Kowloon",,22.34135,114.1863
76,"WONG, CHI KWAN","Shop 116B, Plaza Hollywood, Diamond Hill, Kowloon",,22.3407,114.20197
77,"WONG, KWOK TUNG","Lions Rise, 8 Muk Lun Street, Wong Tai Sin, Kowloon",,22.34068,114.19728
78,"WONG, YEUK KA HARRY","Lee Sum Building, 23-25 Sze Mei Street, San Po Kong, Kowloon",,22.33728,114.20069
79,"WONG, YUK SEN ANNA","Kwong Fat Building, 64 Yuk Wah Street, Tsz Wan Shan, Kowloon",,22.34708,114.20195
80,"WOO, WING HUNG","Room 3134, Lok Fu Plaza, Wang Tau Hom, Kowloon",,22.34135,114.1863
81,"WU, HO MUN","Fu Shan Estate, 181 Po Kong Village Road, Diamond Hill, Kowloon",,22.3457,114.20658
82,"YAU, KWOK HO","Yue Tung House, Tung Tau Estate, Wong Tai Sin, Kowloon",,22.33637,114.19285
83,"YAU, SHING KIN","Grandview Garden Shopping Centre, 185 Hammer Hill Road, Diamond Hill, Kowloon",,22.34197,114.20763
84,"YOUNG, HOI YAN","Temple Mall North, Lung Cheung Road, Wong Tai Sin, Kowloon",,22.34196,114.19281
85,"YUN, LOK CHEUNG","Infinity 8, 8 Clear Water Bay Road, Choi Hung, Kowloon",,22.33292,114.21512
86,"YUNG, CHI YU","1 Fu Chi Path, Ngau Chi Wan Village, Choi Hung, Kowloon",,22.33569,114.21809
