originid,destinationid,distance,duration
8,41,1704,394
8,42,1830,464
8,43,2155,464
8,44,153,80
8,45,1134,291
8,46,1993,452
8,47,2186,459
8,48,1134,291
8,49,1993,452
8,51,2030,577
8,52,2091,580
8,53,1993,452
8,54,2344,511
8,55,12381,1098
8,56,1097,317
8,57,1741,439
8,58,1125,324
8,59,845,262
8,60,1474,414
8,61,727,236
8,62,153,80
8,63,328,103
8,64,1727,482
8,65,1627,414
8,66,12381,1098
8,67,1926,426
8,68,2554,608
8,69,1307,382
8,70,2332,393
8,71,1993,452
8,72,1585,398
8,73,2102,459
8,74,1194,368
8,75,1993,452
8,76,1134,291
8,77,1685,469
8,78,1570,456
8,79,1601,396
8,80,1993,452
8,81,2108,451
8,82,2702,637
8,83,1926,426
8,84,2102,459
8,86,1988,385
9,1,2067,420
9,2,2964,502
9,3,841,213
9,4,3739,644
9,5,3185,455
9,6,497,110
9,7,1646,406
9,8,858,240
9,10,1189,260
9,11,2237,453
9,12,2477,423
9,13,1464,327
9,14,858,240
9,15,2637,426
9,16,1189,260
9,17,2243,402
9,18,2477,423
9,19,2911,454
9,20,2158,428
9,21,3204,652
9,22,1189,260
9,23,3429,582
9,24,2286,373
9,25,1018,323
9,26,1782,451
9,27,2086,521
9,28,2155,428
9,29,49,21
9,30,1189,260
9,31,996,272
9,32,1189,260
9,33,1640,349
9,34,406,170
9,35,2609,577
9,36,2641,532
9,37,1759,363
9,38,2700,607
9,39,49,21
9,40,884,230
9,41,1759,363
9,42,2068,494
9,43,2211,436
9,44,1011,320
9,45,1189,260
9,46,2477,423
9,47,1656,307
9,48,1189,260
9,49,2477,423
9,51,2085,546
9,52,2146,549
9,53,2477,423
9,54,2583,540
9,55,12437,1067
9,56,585,145
9,57,49,21
9,58,408,89
9,59,901,234
9,60,1529,382
9,61,966,266
9,62,1011,320
9,63,567,132
9,64,1782,451
9,65,1683,386
9,66,12437,1067
9,67,1730,315
9,68,2609,577
9,69,1362,351
9,70,2571,422
9,71,2477,423
9,72,1823,427
9,73,2158,428
9,74,1249,340
9,75,2477,423
9,76,1189,260
9,77,1741,438
9,78,1625,425
9,79,318,148
9,80,2477,423
9,81,1548,290
9,82,2758,606
9,83,1730,315
9,84,2158,428
9,86,2043,354
10,1,1097,235
10,2,2731,481
10,3,1428,398
10,4,3506,623
10,5,2952,434
10,6,1083,294
10,7,1970,369
10,8,1267,385
10,9,2199,391
10,11,2004,432
10,12,2244,402
10,13,1302,328
10,14,1267,385
10,15,2475,427
10,16,0,0
10,17,2081,403
10,18,2244,402
10,19,1815,223
10,20,1924,407
10,21,2969,490
10,22,0,0
10,23,3196,561
10,24,1190,142
10,25,1427,468
10,26,1549,430
10,27,2331,477
10,28,1922,406
10,29,2248,412
10,30,0,0
10,31,627,193
10,32,0,0
10,33,1407,328
10,34,2196,390
10,35,2376,556
10,36,1682,307
10,37,1526,342
10,38,2467,586
10,39,2248,412
10,40,698,229
10,41,1526,342
10,42,1906,495
10,43,1252,211
10,44,1420,465
10,45,0,0
10,46,2244,402
10,47,1432,238
10,48,0,0
10,49,2244,402
10,51,1745,339
10,52,2391,505
10,53,2244,402
10,54,2421,541
10,55,11318,833
10,56,967,267
10,57,2248,412
10,58,994,274
10,59,715,233
10,60,1853,345
10,61,596,186
10,62,1420,465
10,63,1153,317
10,64,1549,430
10,65,724,160
10,66,11318,833
10,67,1022,173
10,68,2376,556
10,69,1686,314
10,70,2409,423
10,71,2244,402
10,72,1661,428
10,73,1924,407
10,74,204,85
10,75,2244,402
10,76,0,0
10,77,1508,416
10,78,1429,261
10,79,2108,369
10,80,2244,402
10,81,1204,198
10,82,2524,585
10,83,1022,173
10,84,1924,407
10,86,947,122
11,1,1977,511
11,2,1229,328
11,3,1892,480
11,4,1669,398
11,5,1717,388
11,6,1547,376
11,7,949,282
11,8,1731,460
11,9,2144,521
11,10,1286,279
11,12,1536,377
11,13,1766,403
11,14,1731,460
11,15,2543,414
11,16,1286,279
11,17,2149,390
11,18,1536,377
11,19,3007,473
11,20,974,308
11,21,2671,550
11,22,1286,279
11,23,1359,336
11,24,2382,392
11,25,1891,542
11,26,296,110
11,27,1125,348
11,28,971,307
11,29,2193,541
11,30,1286,279
11,31,1091,275
11,32,1286,279
11,33,679,176
11,34,2141,520
11,35,1648,404
11,36,1380,382
11,37,798,190
11,38,1739,434
11,39,2193,541
11,40,1163,294
11,41,798,190
11,42,2371,569
11,43,1292,376
11,44,1884,540
11,45,1286,279
11,46,1536,377
11,47,2502,512
11,48,1286,279
11,49,1536,377
11,51,1552,443
11,52,1185,376
11,53,1536,377
11,54,2489,528
11,55,12533,1086
11,56,1431,349
11,57,2193,541
11,58,1458,356
11,59,1179,297
11,60,996,280
11,61,1060,268
11,62,1884,540
11,63,1617,399
11,64,296,110
11,65,1961,449
11,66,12533,1086
11,67,1902,449
11,68,1648,404
11,69,829,248
11,70,2477,410
11,71,1536,377
11,72,2126,503
11,73,974,308
11,74,1494,367
11,75,1536,377
11,76,1286,279
11,77,254,96
11,78,1092,323
11,79,2053,498
11,80,1536,377
11,81,2084,473
11,82,1563,416
11,83,1902,449
11,84,974,308
11,86,2139,373
12,1,2944,421
12,2,523,119
12,3,1502,326
12,4,1703,359
12,5,255,40
12,6,1770,356
12,7,2625,387
12,8,1631,364
12,9,2896,510
12,10,1940,215
12,11,1673,443
12,13,1156,223
12,14,1631,364
12,15,1448,174
12,16,1940,215
12,17,1054,150
12,18,0,0
12,19,3653,378
12,20,1594,419
12,21,4238,609
12,22,1940,215
12,23,1209,244
12,24,3028,297
12,25,1791,447
12,26,1550,409
12,27,3065,503
12,28,1591,418
12,29,2945,530
12,30,1940,215
12,31,1843,264
12,32,1940,215
12,33,2619,330
12,34,2893,509
12,35,2063,401
12,36,3528,493
12,37,2739,345
12,38,2154,431
12,39,2945,530
12,40,1914,283
12,41,2739,345
12,42,1760,390
12,43,3098,397
12,44,1784,444
12,45,1940,215
12,46,0,0
12,47,3278,424
12,48,1940,215
12,49,0,0
12,51,3065,527
12,52,2816,479
12,53,0,0
12,54,1394,288
12,55,14059,1044
12,56,2183,338
12,57,2945,530
12,58,2210,345
12,59,1931,287
12,60,2508,364
12,61,1812,257
12,62,1784,444
12,63,1596,320
12,64,1550,409
12,65,2570,346
12,66,14059,1044
12,67,2868,359
12,68,2063,401
12,69,2341,332
12,70,1382,170
12,71,0,0
12,72,1515,323
12,73,1594,419
12,74,2148,303
12,75,0,0
12,76,1940,215
12,77,1509,395
12,78,2604,407
12,79,2805,487
12,80,0,0
12,81,3050,384
12,82,1597,378
12,83,2868,359
12,84,1594,419
12,86,2785,278
13,1,2131,470
13,2,1609,306
13,3,347,104
13,4,2383,448
13,5,1879,315
13,6,968,193
13,7,1721,419
13,8,829,201
13,9,1940,470
13,10,2018,213
13,11,2312,466
13,12,1121,227
13,14,829,201
13,15,1526,172
13,16,2018,213
13,17,1132,148
13,18,1121,227
13,19,3731,376
13,20,2232,441
13,21,3279,665
13,22,2018,213
13,23,2073,387
13,24,3106,295
13,25,989,284
13,26,1856,464
13,27,2160,534
13,28,2230,441
13,29,1989,491
13,30,2018,213
13,31,887,224
13,32,2018,213
13,33,1714,362
13,34,1938,470
13,35,2743,490
13,36,2716,542
13,37,1834,376
13,38,2834,520
13,39,1989,491
13,40,959,240
13,41,1834,376
13,42,604,167
13,43,2285,446
13,44,982,281
13,45,2018,213
13,46,1121,227
13,47,2298,461
13,48,2018,213
13,49,1121,227
13,51,2160,559
13,52,2220,562
13,53,1121,227
13,54,592,125
13,55,13265,1020
13,56,1227,299
13,57,1989,491
13,58,1254,306
13,59,975,244
13,60,1603,395
13,61,857,218
13,62,982,281
13,63,794,157
13,64,1856,464
13,65,1757,395
13,66,13265,1020
13,67,2055,408
13,68,2743,490
13,69,1436,364
13,70,1460,168
13,71,1121,227
13,72,359,100
13,73,2232,441
13,74,2226,301
13,75,1121,227
13,76,2018,213
13,77,1815,451
13,78,1700,438
13,79,1849,448
13,80,1121,227
13,81,2237,433
13,82,2277,467
13,83,2055,408
13,84,2232,441
13,86,2863,276
14,1,2001,488
14,2,2480,531
14,3,602,183
14,4,3255,672
14,5,3130,486
14,6,349,106
14,7,1591,437
14,8,0,0
14,9,1692,418
14,10,1134,291
14,11,2182,484
14,12,1993,452
14,13,1225,297
14,15,2398,396
14,16,1134,291
14,17,2004,373
14,18,1993,452
14,19,2855,485
14,20,2102,459
14,21,3149,684
14,22,1134,291
14,23,2945,611
14,24,2231,404
14,25,160,83
14,26,1727,482
14,27,2031,552
14,28,2100,459
14,29,1741,439
14,30,1134,291
14,31,757,242
14,32,1134,291
14,33,1585,380
14,34,1689,417
14,35,2554,608
14,36,2586,560
14,37,1704,394
14,38,2645,638
14,39,1741,439
14,40,829,258
14,41,1704,394
14,42,1830,464
14,43,2155,464
