typeCode,estateName,phaseName,address,nUnitPrice,postMinNUnitPrice,postMaxNUnitPrice,unitPrice,postMinUnitPrice,postMaxUnitPrice,minOpDate,maxOpDate,phaseCount,buildingCount,unitCount,blgHeight,lat,lng
1-MSLZTHHRHN,賈炳達道61號,,賈炳達道61號,5161,,,5161,,,1958-05-13T00:00:00,1958-05-13T00:00:00,0,1,7,7,22.33040779,114.190687
1-MSNIIHDXHZ,景福街73號,,景福街73號,8095,,,8095,,,1963-09-03T00:00:00,1963-09-03T00:00:00,0,1,7,7,22.3344257,114.1972785
1-MSNTIHLJHN,打鼓嶺道52號,,打鼓嶺道52號,4827,,,4827,,,1964-10-29T00:00:00,1964-10-29T00:00:00,0,1,7,7,22.32967622,114.1917159
1-MSSNTHHAHN,賈炳達道63號,,賈炳達道63號,5046,,,5046,,,1958-05-13T00:00:00,1958-05-13T00:00:00,0,1,7,7,22.33043489,114.1906482
1-MSXHIHLAHN,打鼓嶺道50號,,打鼓嶺道50號,5691,,,5691,,,1964-10-29T00:00:00,1964-10-29T00:00:00,0,1,7,7,22.32963107,114.1917159
1-MSXITHHXHN,賈炳達道67號,,賈炳達道67號,356,,,356,,,1958-05-13T00:00:00,1958-05-13T00:00:00,0,1,7,7,22.3304349,114.1905609
1-MSZTIHDRHZ,景福街65號,,景福街65號,4507,,,4507,,,1964-02-26T00:00:00,1964-02-26T00:00:00,0,1,7,7,22.33433542,114.1970941
1-MTLLTHXJHT,其昌樓,,白加士街55號,6651,,,6651,,,1967-08-09T00:00:00,1967-08-09T00:00:00,0,1,7,7,22.30474331,114.1704691
1-MTSSTHXAHT,其昌樓,,白加士街53號,6235,,,6235,,,1967-08-09T00:00:00,1967-08-09T00:00:00,0,1,7,7,22.30469815,114.1704788
1-MTSXIHXXHM,金巴利道72C號,,金巴利道72C號,1695,,,1695,,,1955-12-05T00:00:00,1955-12-05T00:00:00,0,1,7,7,22.30161883,114.1754866
1-MTXNTHXXHT,白加士街47號,,白加士街47號,9096,,,9096,,,1958-06-13T00:00:00,1958-06-13T00:00:00,0,1,7,5,22.30458075,114.1704788
1-MXDNZHHRHX,鴨寮街204號,,鴨寮街204號,8489,,,8489,,,1963-05-07T00:00:00,1963-05-07T00:00:00,0,1,7,7,22.33037159,114.1620522
1-MXDZIHLJHI,汝州街126號,,汝州街126號,6763,,,6763,,,1961-07-15T00:00:00,1961-07-15T00:00:00,0,1,7,7,22.32805091,114.1641782
1-MXHDZHNRHX,南昌街139號,,南昌街139號,7062,,,7062,,,1964-09-02T00:00:00,1964-09-02T00:00:00,0,1,7,7,22.32954088,114.1632365
1-MXHLZHXAHI,石硤尾街45A號,,石硤尾街45A號,4903,,,4903,,,1966-06-17T00:00:00,1966-06-17T00:00:00,0,1,7,7,22.33031768,114.1654593
1-MXHXTHMOHX,福榮街91號,,福榮街91號,2706,,,2706,,,1960-10-20T00:00:00,1960-10-20T00:00:00,0,1,7,7,22.33096775,114.1637605
1-MXHXZHXXHI,石硤尾街43號,,石硤尾街43號,6158,,,6158,,,1966-06-17T00:00:00,1966-06-17T00:00:00,0,1,7,7,22.33031768,114.1654593
1-MXHZZHHSHI,鴨寮街78號,,鴨寮街78號,4766,,,4766,,,1962-10-02T00:00:00,1962-10-02T00:00:00,0,1,7,7,22.3282406,114.16478
1-MXIMIHLJHX,汝州街200號,,汝州街200號,6455,,,6455,,,1964-12-05T00:00:00,1964-12-05T00:00:00,0,1,7,5,22.32941438,114.1624211
1-MXIZZHHHHX,鴨寮街202號,,鴨寮街202號,6791,,,6791,,,1963-05-07T00:00:00,1963-05-07T00:00:00,0,1,7,7,22.33038063,114.1621298
1-MXLNIHXOHX,大南街299號,,大南街299號,5896,,,5896,,,1956-10-30T00:00:00,1956-10-30T00:00:00,0,1,7,5,22.32886337,114.1608778
1-MXLNTHLSHS,地錦路2號,,地錦路2號,4554,20106,20106,4554,16061,16061,1983-08-04T00:00:00,1983-08-04T00:00:00,0,1,7,4,22.3307425,114.1746418
1-MXLNZHHOHX,鴨寮街206號,,鴨寮街206號,8532,,,8532,,,1963-05-07T00:00:00,1963-05-07T00:00:00,0,1,7,7,22.3304348,114.1620619
1-MXLTZHMJHX,福榮街60號,,福榮街60號,5424,,,5424,,,1962-07-07T00:00:00,1962-07-07T00:00:00,0,1,7,5,22.3313651,114.1637605
1-MXMHIHLXHX,汝州街190號,,汝州街190號,8152,,,8152,,,1958-01-20T00:00:00,1958-01-20T00:00:00,0,1,7,7,22.32924282,114.1626541
1-MXMHTHXSHI,西洋菜北街462A號,,西洋菜北街462A號,6581,,,6581,,,1958-09-19T00:00:00,1958-09-19T00:00:00,0,1,7,7,22.3297308,114.1671386
1-MXMIIHXYHX,大南街303號,,大南街303號,5064,,,5064,,,1958-08-18T00:00:00,1958-08-18T00:00:00,0,1,7,7,22.32890852,114.1608002
1-MXMNIHIXHN,醫局街229號,,醫局街229號,16996,,,16996,,,1955-12-14T00:00:00,1955-12-14T00:00:00,0,1,7,5,22.32937782,114.1581696
1-MXMSZHXSHI,石硤尾街45號,,石硤尾街45號,6133,,,6133,,,1966-06-17T00:00:00,1966-06-17T00:00:00,0,1,7,7,22.33031768,114.1654593
1-MXNHTHDOHX,海壇街230號,,海壇街230號,4739,,,4739,,,1959-08-27T00:00:00,1959-08-27T00:00:00,0,1,7,7,22.32848387,114.1588492
1-MXNIZHXJHI,石硤尾街43A號,,石硤尾街43A號,7314,,,7314,,,1966-06-17T00:00:00,1966-06-17T00:00:00,0,1,7,7,22.33031768,114.1654593
1-MXNLTHHHHX,鴨寮街203號,,鴨寮街203號,6429,,,6429,,,1958-11-19T00:00:00,1958-11-19T00:00:00,0,1,7,5,22.33019095,114.1617319
1-MXNZTHZAHX,桂林街38F號,,桂林街38F號,5105,,,5105,,,1958-01-20T00:00:00,1958-01-20T00:00:00,0,1,7,7,22.33062441,114.1617027
1-MXSDIHNXHI,白楊街28號,,白楊街28號,5007,,,5007,,,1959-08-08T00:00:00,1959-08-08T00:00:00,0,1,7,7,22.32671456,114.1667311
1-MXSDZHTJHZ,青山道363號,,青山道363號,6646,,,6646,,,1961-02-06T00:00:00,1961-02-06T00:00:00,0,1,7,7,22.33868805,114.1557513
1-MXSHIHDSHI,基隆街211號,,基隆街211號,7186,,,7186,,,1968-05-14T00:00:00,1968-05-14T00:00:00,0,1,7,7,22.32796049,114.1628484
1-MXSIIHXSHX,大南街305號,,大南街305號,4527,,,4527,,,1958-08-18T00:00:00,1958-08-18T00:00:00,0,1,7,7,22.3289356,114.1607614
1-MXSMIHLXHI,汝州街122號,,汝州街122號,4962,,,4962,,,1961-07-15T00:00:00,1961-07-15T00:00:00,0,1,7,7,22.32797867,114.1642267
1-MXSMIHZJHZ,福榮街184號,,福榮街184號,6776,,,6776,,,1964-06-04T00:00:00,1964-06-04T00:00:00,0,1,7,5,22.33372181,114.1607317
1-MXSSIHSYHX,醫局街134號,,醫局街134號,13355,,,13355,,,1956-05-30T00:00:00,1956-05-30T00:00:00,0,1,7,5,22.32749977,114.1610721
1-MXSSIHZXHN,海壇街250號,,海壇街250號,15660,,,15660,,,1955-12-23T00:00:00,1955-12-23T00:00:00,0,1,7,5,22.32912495,114.1580047
1-MXSSTHLAHI,汝州街65號,,汝州街65號,2691,,,2691,,,1962-04-24T00:00:00,1962-04-24T00:00:00,0,1,7,7,22.32660611,114.1654887
1-MXSZZHHAHI,鴨寮街80號,,鴨寮街80號,4815,,,4815,,,1962-10-02T00:00:00,1962-10-02T00:00:00,0,1,7,7,22.32826769,114.1647411
1-MXTDTHIRHX,大南街384號,,大南街384號,6151,,,6151,,,1958-01-17T00:00:00,1958-01-17T00:00:00,0,1,7,5,22.33006433,114.1598294
1-MXTHIHNYHX,北河街21號,,北河街21號,2093,,,2093,,,1958-10-09T00:00:00,1958-10-09T00:00:00,0,1,7,7,22.32763513,114.1600723
1-MXTSTHHSHT,青山道439號,,青山道439號,8516,,,8516,,,1955-10-06T00:00:00,1955-10-06T00:00:00,0,1,7,5,22.3401327,114.1539164
1-MXTSTHZAHT,福華街629號,,福華街629號,4172,,,4172,,,1956-03-02T00:00:00,1956-03-02T00:00:00,0,1,7,5,22.33998786,114.1515963
1-MXXHIHZEHX,荔枝角道298號,,荔枝角道298號,4555,,,4555,,,1963-07-16T00:00:00,1963-07-16T00:00:00,0,1,7,7,22.32819516,114.161373
1-MXXIZHXRHZ,東沙島街163號,,東沙島街163號,6882,,,6882,,,1957-04-26T00:00:00,1957-04-26T00:00:00,0,1,7,5,22.33519364,114.1592463
1-MXXLTHLXHI,汝州街67號,,汝州街67號,2436,,,2436,,,1962-04-24T00:00:00,1962-04-24T00:00:00,0,1,7,7,22.32664223,114.1654498
1-MXXNZHLAHZ,元州街416號,,元州街416號,2549,,,2549,,,1961-04-17T00:00:00,1961-04-17T00:00:00,0,1,7,7,22.33874217,114.1552271
1-MXXTIHDAHI,基隆街213號,,基隆街213號,7140,,,7140,,,1968-05-14T00:00:00,1968-05-14T00:00:00,0,1,7,7,22.32798758,114.1628096
1-MXZMZHNHHX,南昌街137號,,南昌街137號,7014,7131,7131,7014,,,1964-09-02T00:00:00,1964-09-02T00:00:00,0,1,7,7,22.32950475,114.1632074
1-MXZTIHNEHX,北河街25號,,北河街25號,8759,,,8759,,,1957-04-23T00:00:00,1957-04-23T00:00:00,0,1,7,5,22.32769835,114.1601306
1-MZDDIHNXHM,馬頭角道109號,,馬頭角道109號,6408,,,6408,,,1959-10-22T00:00:00,1959-10-22T00:00:00,0,1,7,7,22.31986879,114.1939375
1-MZDDTHLRHM,駿發街23號,,駿發街23號,5891,,,5891,,,1959-03-19T00:00:00,1959-03-19T00:00:00,0,1,7,5,22.32125053,114.1932971
1-MZDHIHNRHM,馬頭角道103號,,馬頭角道103號,6949,,,6949,,,1959-10-22T00:00:00,1959-10-22T00:00:00,0,1,7,7,22.31993202,114.1937725
1-MZDHZHZSHZ,馬頭圍道115號,,馬頭圍道115號,1884,,,1884,,,1957-10-02T00:00:00,1957-10-02T00:00:00,0,1,7,7,22.31359305,114.1878125
1-MZDIIHTSHM,興仁街14號,,興仁街14號,3333,,,3333,,,1959-09-25T00:00:00,1959-09-25T00:00:00,0,1,7,7,22.31937206,114.1943839
1-MZDITHIRHM,鵬程街18號,,鵬程街18號,8305,,,8305,,,1959-09-15T00:00:00,1959-09-15T00:00:00,0,1,7,7,22.32143123,114.1924527
1-MZDLIHHSHM,鳳儀街22號,,鳳儀街22號,6035,,,6035,,,1960-08-11T00:00:00,1960-08-11T00:00:00,0,1,7,7,22.32193702,114.1915695
1-MZDLTHXRHM,美華街5號,,美華街5號,8508,,,8508,,,1960-10-24T00:00:00,1960-10-24T00:00:00,0,1,7,7,22.31657306,114.189123
1-MZDMIHNJHM,馬頭角道107號,,馬頭角道107號,6291,,,6291,,,1959-10-22T00:00:00,1959-10-22T00:00:00,0,1,7,7,22.31989588,114.193889
1-MZDMZHZJHZ,馬頭圍道117號,,馬頭圍道117號,2355,,,2355,,,1957-10-02T00:00:00,1957-10-02T00:00:00,0,1,7,7,22.3136382,114.1878125
1-MZDNIHZXHM,鹿鳴街5號,,鹿鳴街5號,6949,,,6949,,,1960-04-22T00:00:00,1960-04-22T00:00:00,0,1,7,7,22.32150357,114.1914238
1-MZDNIHZXHZ,銀漢街12號,,銀漢街12號,10119,,,10119,,,1958-04-28T00:00:00,1958-04-28T00:00:00,0,1,7,7,22.31449604,114.1887832
1-MZDNTHMAHZ,啟明街25號,,啟明街25號,9290,,,9290,,,1957-07-10T00:00:00,1957-07-10T00:00:00,0,1,7,6,22.3138007,114.1886278
1-MZDNZHSVHT,譚公道79號,,譚公道79號,6357,,,6357,,,1959-01-13T00:00:00,1959-01-13T00:00:00,0,1,7,7,22.32298483,114.1884733
1-MZDSTHIAHM,鵬程街20號,,鵬程街20號,6136,,,6136,,,1959-09-15T00:00:00,1959-09-15T00:00:00,0,1,7,7,22.32147638,114.1924818
1-MZDSTHXSHM,美華街3號,,美華街3號,9009,,,9009,,,1960-10-24T00:00:00,1960-10-24T00:00:00,0,1,7,7,22.31660918,114.1890745
1-MZDTIHNAHM,馬頭角道105號,,馬頭角道105號,3292,,,3292,,,1959-10-22T00:00:00,1959-10-22T00:00:00,0,1,7,7,22.31992298,114.1938308
1-MZDXTHISHM,鵬程街16號,,鵬程街16號,6437,,,6437,,,1959-09-15T00:00:00,1959-09-15T00:00:00,0,1,7,7,22.32137705,114.1924235
1-MZDXTHLXHM,駿發街2號,,駿發街2號,928,,,928,,,1961-02-01T00:00:00,1961-02-01T00:00:00,0,1,7,7,22.32059131,114.1931805
1-MZHDIHSXHN,黃埔街35A號,,黃埔街35A號,14710,,,14710,,,1956-12-28T00:00:00,1956-12-28T00:00:00,0,1,7,7,22.30693767,114.1849393
1-MZHDZHDXHM,九龍城道182號,,九龍城道182號,8216,,,8216,,,1960-10-20T00:00:00,1960-10-20T00:00:00,0,1,7,7,22.32161199,114.1908318
1-MZHDZHIJHZ,環樂街4號,,環樂街4號,7832,,,7832,,,1958-05-05T00:00:00,1958-05-05T00:00:00,0,1,7,7,22.3126448,114.1884239
1-MZHDZHLXHN,黃埔街34A號,,黃埔街34A號,19804,,,19804,,,1957-03-13T00:00:00,1957-03-13T00:00:00,0,1,7,7,22.30665771,114.1851528
